	Account Number (CDP)	City Name (CDP)	Country (CDP)	City Short Name (CDP)	C40 (CDP)	Reporting Year (CDP)	Measurement Year (CDP)	Boundary (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Gases included (CDP)	Total City-wide Emissions (metric tonnes CO2e) (CDP)	Total Scope 1 Emissions (metric tonnes CO2e) (CDP)	Total Scope 2 Emissions (metric tonnes CO2e) (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Current Population Year (CDP)	Current Population (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	City Location (CDP)	Country Location (CDP)	Measurement year only (CDP)	scope fraction (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)
162	58628	University City, MO	USA	University City, MO		2016.0	2005-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	Inventory calculated using CACP software using IPCC 1996 Guidelines and US Voluntary Reporting Guidelines. (1996 guidelines not available as an option)	CO2; CH4; N2O	501147.0	266265.0	234882.0	This is our first year of calculation		2010.0	35371.0					13.9	15.3	160.0	(38.6682, -90.3325)	(37.09024, -95.712891)	2005.0	1.0		A
160	55616	Los Altos Hills	USA	Los Altos Hills		2016.0	2015-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	We also participated in the GPC community inventory pilot in 2015. We were the only city from the US in their initial pilot.	CO2	57243.0	47552.0	9691.0	Decreased	From 2014 to 2015 our emissions decreased from 78,678 MT to 77,583 MT. This was primarily due to decreased VMT (data obtained from state agencies) and reductions in Heating Fuel use due to a milder winter.	2013.0	8334.0					14.3	21.8	89.0	(37.3797, -122.1375)	(37.09024, -95.712891)	2015.0	1.0		A
159	10495	City of Las Vegas	USA	Las Vegas		2016.0	2014-12-31 00:00:00	A metropolitan area	Other	Community data was collected from local utilities (NV Energy and Southwest Gas), the Nevada Department of Transportation's Annual VMT Report for Clark County, the Regional Transportation Commission of Southern Nevada, and the Nevada Department of Environmental Protection. These data points were input into ICLEI's CACP software to obtain aggregated community emission data for Southern Nevada.	CO2	29657130.0	11002925.0	18654205.0	Increased	The population of Las Vegas has stayed fairly constant in the last 5 years.  Population dropped slightly after the recession, but has increased past 2009 levels.  Community emissions targets are not as rigidly defined as the municipality's, so reductions in GHG emissions are not as pronounced.	2016.0	621970.0	94521.0	USD     US Dollar	2014.0	http://cber.unlv.edu/CCEconData.html	21.0	136.0	664.0	(36.1699412, -115.1398296)	(37.09024, -95.712891)	2014.0	1.0		A
157	54075	City of Lakewood	USA	Lakewood		2016.0	2007-12-31 00:00:00	Administrative boundary of a local government	Other	Hybrid Demand-Center Life Cycle Assessment Methodology developed by Ramaswami et. al.: The City of Lakewood GHG Emissions Inventory assesses 2007 GHG emissions using a hybrid demand-center life cycle assessment methodology developed by Ramaswami et. al. The method uses the standard Local Government Operations Protocol (LGOP) released by ICLEI\-Local Governments for Sustainability to report GHG emissions from in-boundary activities. Out-of-boundary activities critical to a community such as the provision of food, water, fuels and dwellings are added to the in-boundary activities to yield an expanded inventory that becomes a more comprehensive “carbon emissions footprint”. In 2015, the City of Lakewood worked with a GHG emissions analyst and updated the 2007 report figures based on more accurate electricity and surface transportation emission factors.	CO2; CH4; N2O	1727860.0	553900.0	1173960.0	Decreased	We only have a single GHG inventory; however our projections indicate a decrease based on the following reasoning: While the City of Lakewood’s population and material sector emission factors have increased annually, the emission factors for electricity and transportation have decreased annually as a result of the State of Colorado’s Renewable Portfolio Standard and improvements to vehicle fuel efficiency required by the Federal CAFE standards. (See attachment: BAU determination)	2014.0	149643.0					10.8	114.0	1638.0	(39.7047, -105.0814)	(37.09024, -95.712891)	2007.0	1.0		A
156	31090	District of Columbia	USA	District of Columbia	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Emissions reported here are based on the GPC. Previous inventories, and the District's baseline were calculated using the U.S. community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	CO2; CH4; N2O	7386407.0	3132786.0	4253621.0	Increased	Emissions increased 2.3% from 2012 to 2013 due primarily to a colder winter and resulting increase in energy consumption for heating purposes. 2013 emissions have been updated from what was previously reported in order to reflect updated emission factors for grid electricity now available from the U.S. EPA. (EGrid 2012).	2015.0	672228.0	116378000000.0	USD     US Dollar	2014.0	U.S. Bureau of Economic Analysis	14.7	158.0		(38.9071923, -77.0368707)	(37.09024, -95.712891)	2013.0	1.0		A
155	35859	City of Cleveland	USA	Cleveland		2016.0	2010-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	This inventory was assembled through the collection and analysis of data with City of Cleveland staff as well as other city stakeholders such as utilities, regional coordinating agencies, local organizations and large emitters. Associated GHG emissions for all activities were calculated using an approach consistent with the International Council for Local Environmental Initiatives (ICLEI) - U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI) as the main guiding document, with methodologies from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA) also referenced. Tools - Inventory Management System: Most of the calculations used to develop this inventory were carried out in an Information Management System (IMS), a Microsoft Excel-based spreadsheet that collects into one tool the original data, methodology applied, emission factors selected and a summary of GHG emission results. The IMS also provides charting, forecasting and benchmarking capabilities	CO2; CH4; N2O	11889595.0	7750563.0	4139032.0	This is our first year of calculation	2010 Baseline Inventory that’s being reported is our 1st comprehensive GHG inventory. The GHG inventory will likely be updated in 2016, using 2015 data.	2010.0	396815.0					10.4	201.0	199.0	(41.49932, -81.6943605)	(37.09024, -95.712891)	2010.0	1.0		A
153	54048	City of Knoxville	USA	Knoxville		2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	ICLEI Clean Air and Climate Protection	CO2; CH4; N2O	3999874.0	2061435.0	1938439.0	Decreased	Energy consumption in 2012 fell in the residential and commercial sectors by approximately 2% and 13% respectively, relative to 2005. Energy use for transportation decreased over 3.5%, largely due to improvements in the average fuel economy of vehicles. In addition to energy savings, changes to the Tennessee Valley Authority’s (TVA) electricity production portfolio also contributed to emissions reductions, as multiple coal-fired power plants were retired, retrofitted, or replaced by natural gas, nuclear, and renewable sources of energy in recent years.	2014.0	184281.0	37487000000.0	USD     US Dollar	2014.0	US Department of Commerce Bureau of Economic Analysis; http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=28940&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels	15.2	255.2	269.0	(35.9606, -83.9207)	(37.09024, -95.712891)	2012.0	1.0		A
152	54104	City of Boulder	USA	Boulder		2016.0	2012-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	This protocol was adopted for the 2012 inventory. Previous inventories followed a different methodology making an apples to apples comparison difficult. It is the city's intention to follow the GPC, in addition to the U.S. Community Protocol, for the 2015 inventory, expected completion by December 2016.	CO2; CH4; N2O	1721996.0	741287.0	980709.0	Other	Changed to US Community Protocol for 2012 inventory. Only 2005 was backcast using the new protocol. Technically, we increased a half of a percent (0.5%) from our 2005 baseline. However, not only was the baseline inventory backcast but data sources changed between the two inventories as well. The error margin straddles the 'no change' parameters.	2015.0	104810.0	22354000000.0	USD     US Dollar	2014.0	Bureau of Economic Analysis, Dept. of Commerce	10.9	67.0	1655.0	(40.0274, -105.2519)	(37.09024, -95.712891)	2012.0	1.0		A
151	35268	City of Boston	USA	Boston	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. A 10% ethanol content for gasoline is also accounted for.  Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.	CO2; CH4; N2O	6066182.0	3603270.0	2462912.0	Decreased	Overall GHGs decreased by about 2,000 metric tonnes, or 0.03%. This could be in part because there was only a small increase in heating degree days (HDD) from 2013 to 2014 (6.5%), and natural gas used declined more than 4.5%. Meanwhile the electricity emissions factor fell by a few points, while electricity use increased only 1.2%.	2013.0	646000.0	103067100436.0	USD     US Dollar	2015.0	Boston Redevelopment Authority analysis using data from the Bureau of Economic Analysis and the National Bureau of Economic Research	10.0	124.0	2.0	(42.3584308, -71.0597732)	(37.09024, -95.712891)	2014.0	1.0		A
145	1093	City of Atlanta	USA	Atlanta		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	The Atlanta Mayor’s Office of Sustainability uses the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC) as the framework for its annual citywide greenhouse gas (GHG) reports, which is consistent with international standards. The GPC level selected for the 2013 reports was BASIC. This level will serve as a baseline for more comprehensive reports in the future. This report included emissions from electricity and natural gas consumption, vehicles, city-owned landfills, municipal solid waste (MSW) generated inside the city but sent to landfills outside city limits, and emissions from wastewater treatment plants (WWTP), the Metropolitan Atlanta Rapid Transit Authority (MARTA), and the Hartsfield-Jackson Atlanta International Airport (excluding aviation fuel emissions). All these emitting sources are in compliance with the GPC protocol.	CO2; CH4; N2O	9024235.0	3548215.0	5476020.0	Increased	Factors for the increase in emissions are: a growth in the construction market, the construction of a new international terminal at the airport, and cheap prices of oil	2013.0	443775.0	260000000000.0	USD     US Dollar	2013.0	http://www.atlantaga.gov/modules/showdocument.aspx?documentid=12107	16.9	343.0	272.0	(33.7489954, -84.3879824)	(37.09024, -95.712891)	2014.0	1.0		A
100	54354	City Government of Makati	Philippines	Makati		2016.0	2011-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions* from WRI, ICLEI and the C40 Climate Leadership Gourp were also used to supplement the GHG Protocol. *GPC Pilot version 1.0 (May 2012) was re;eased as draft and opened for comments while the GHG inventory was taking place in Makati. The approach taken to complete the inventory is mostly similar to the one recommended in the Protocol, but there are some differences in content and terminology (e.f. defining inventory boundaries in terms of 'geographic' and 'geographic+' instead of 'basic' and 'basic+'.	CO2; CH4; N2O	1660370.0	462586.0	1197784.0	Increased	Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons: a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained. b. With the increasing population, waste generation also increases. c. Increased construction and development projects are also observed leading to increased in the demand for energy. d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads.	2010.0	529039.0		PHP     Philippine Peso	2015.0	Budget of Expenditures and Sources of Financing NEDA		27.4		(14.559004, 121.081632)	(12.879721, 121.774017)	2011.0	1.0		A
10	14874	City of Portland, OR	USA	Portland, OR	C40	2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; CH4; N2O	6974544.0	4610317.0	2364227.0	Decreased		2014.0	619360.0	163692000000.0	USD     US Dollar	2013.0	2013 GDP & personal income. U.S. Department of Commerce Bureau of Economic Analysis	12.5	376.0	77.0	(45.52, -122.6819)	(37.09024, -95.712891)	2014.0	1.0		A
77	54337	Greater Amman Municipality	Jordan	Amman 	C40	2016.0	2014-12-31 00:00:00	A metropolitan area	2006 IPCC Guidelines for National Greenhouse Gas Inventories		CO2; CH4; N2O	7215407.0	3322603.0	3892804.0	This is our first year of calculation		2015.0	3604459.0	10697000000.0	JOD     Jordanian Dinar	2014.0	Ministry of Energy and Mineral Resources	17.0	800.0	900.0	(31.945367, 35.928372)	(30.585164, 36.238414)	2014.0	1.0		A
60	1184	City of Austin	USA	Austin	C40	2016.0	2013-12-31 00:00:00	Combination of administrative divisions	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; PFCs; CH4; N2O	13700000.0	6439000.0	7261000.0	Decreased	Renewable energy in our electricity generation, energy efficiency, and fuel efficiency of the city wide vehicle fleet	2015.0	888204.0					20.0	704.0	149.0	(30.2672, -97.7431)	(37.09024, -95.712891)	2013.0	1.0		A
76	31113	City of Yokohama	Japan	Yokohama	C40	2016.0	2013-03-31 00:00:00	Administrative boundary of a local government	Other	Yokohama determines levels of greenhouse gas (GHG) emissions, promotes their reduction, and manages the progress of reduction on the basis of the Yokohama City Action Plan for Global Warming Countermeasures (district measure revised edition; 2014), which was prepared in accordance with the provisions of Article 20, Item 3, Paragraph 3 of the Act on Promotion of Global Warming Countermeasures.  It measures GHG emissions in accordance with “the manual for formulation of action plans by local public entities for global warming countermeasures (regional measure edition, 2014)”, which was formulated by the Ministry of the Environment.	CO2; PFCs; CH4; SF6; N2O	21950000.0	12572000.0	9378000.0	Increased	after the Great East Japan Earthquake, the portion of thermal plant has been increased, emission coefficients in the power sector has been increased.	2015.0	3719589.0	104000000000.0	USD     US Dollar	2012.0	The calculation of citizen economy in Yokohama, 2012, (issued in 2015)	16.0	437.0	39.0	(35.4437078, 139.6380256)	(36.204824, 138.252924)	2013.0	1.0		A
43	31117	City of Toronto	Canada	Toronto	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste. a. Energy Heating and Cooling: The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...b. Transportation: Data are collected and standardized only for car and truck traffic through the City using four main sources: -truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division -accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division --a Canadian standard developed by a Canadian consultant. The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources. c. Waste: Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.	CO2	18320966.0	16151019.0	2169947.0	Decreased	a.  Eliminating the use of coal in the electricity mix which facilitated substantive per capita reductions in energy consumption b.  Significantly reducing the amount of waste going to landfill, and therefore, the amount of methane gas generated. Our transportation emissions have remained the same because we have not been able to update this data for the year 2012 and so we used the same data from 2011 for our inventory.	2011.0	2753100.0	157300000000000.0	CAD     Canadian Dollar	2013.0	http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=41e067b42d853410VgnVCM10000071d60f89RCRD&vgnextchannel=57a12cc817453410VgnVCM10000071d60f89RCRD	8.0	634.0	77.0	(43.653226, -79.3831843)	(56.130366, -106.346771)	2013.0	1.0		A
97	43932	Auckland Council	New Zealand	Auckland 	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Version 1 (published in 2014)	CO2; CH4; N2O	10472155.0	9133523.0	1338632.0	Increased	There was a 0.9 per cent increase in emissions between 2009 and 2013. The emissions for 2009 were 10,857 ktCO2e (our last emissions inventory). The emissions for 2013 were 10,955 ktCO2e (our most recent emissions inventory). The main driver of the increase was the increased emissions from the industrial processes and product use sector. Over the same timeframe, the population increased by 5.0 per cent and the GDP increased by 8.4 per cent. Subsequently, the emissions intensity by population decreased from 7.6 to 7.3 tCO2e per capita. Similarly the emissions intensity by GDP decreased from 160 to 149 tCO2e per million $NZ (2009/2010 price). Overall, the emissions intensity has reduced and there is evidence that emissions are decoupling from population and economic growth.	2015.0	1569900.0	81186000.0	NZD     New Zealand Dollar	2014.0	Statistics New Zealand	15.3	4894.0	79.0	(-36.815328, 174.741788)	(-40.900557, 174.885971)	2013.0	1.0		A
67	54108	City of Durham	USA	Durham		2016.0	2015-06-30 00:00:00	Administrative boundary of a local government	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		CO2; CH4; N2O	4530469.0	1973070.0	2557399.0	Decreased	weather, changed the way we were calculating	2015.0	250815.0					15.0	277.0		(35.994, -78.8986)	(37.09024, -95.712891)	2015.0	1.0		A
63	50154	City of Turku	Finland	Turku		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	2006 IPCC Guidelines for National Greenhouse Gas Inventories	For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management.	CO2; CH4; N2O	1107500.0	421200.0	686300.0	Stayed the same	Most sectors decreased, but the emission factor for electricity increased in Finland.	2015.0	186000.0	8700000000.0	USD     US Dollar	2012.0	Statistics Finland	5.5	246.0	10.0	(60.4518126, 22.2666303)	(61.92411, 25.748151)	2013.0	1.0		A
62	31187	Seoul Metropolitan Government	South Korea	Seoul 	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Plus, For Local Government Greenhouse Gas Inventories.,  Korea Environment Corporation, 2010,)	CO2; PFCs; CH4; SF6; N2O; HFCs	47612664.0	25082520.0	22530144.0			2015.0	10297138.0	327602162000000.0	KRW     South Korean Won	2014.0	Korean Statistical Information Service	12.1	605.0	85.0	(37.566535, 126.9779692)	(35.907757, 127.766922)	2013.0	1.0		A
30	31156	Municipality of Curitiba	Brazil	Curitiba	C40	2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Developed in partnership with ICLEI/URBAN LEDS Project	CO2; PFCs; CH4; SF6; N2O; NF3; HFCs	3036279.0	2686488.0	349791.0	Increased	The main difference on the increase of  GEE emissions is on the energy sector not by an increase of consumption but because of an increse on emission factors due to the use o thermoelectric plants. In 2012 the annual national average emission factor was 0,0653 T/CO 2e by MWh produced, while in 2013 the factor increased by 30% to 0,0963 T/CO2e by MWh produced .	2010.0	1751907.0	79400000000.0	BRL     Brazilian Real	2013.0	http://www.agencia.curitiba.pr.gov.br/publico/conteudo.aspx?codigo=39	18.0	434.0	935.0	(-25.431063, -49.264693)	(-14.235004, -51.92528)	2013.0	1.0		A
59	8242	City of Helsinki	Finland	Helsinki		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	Regionally developed methodology equivalent to GPC (and IPCC guidelines)	CO2; CH4; N2O	4885930.0	2096206.0	2789724.0	Decreased	Energy efficiency has improved in buildings and vehicles. National grid electricity produces less CO2 emissions than before. Traffic fuel mix includes more CO2-neutral fuels. Long term: Less coal in district heating, waste management has improved, industry has decreased.	2014.0	612664.0					5.9	214.0		(60.1733244, 24.9410248)	(61.92411, 25.748151)	2014.0	1.0		A
80	43905	City of San Antonio	USA	San Antonio		2016.0	2013-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)		CO2; CH4; N2O	15734762.0	7214051.0	8520711.0			2012.0	1400000.0	93198982910.0	USD     US Dollar	2012.0		27.0	426.0	787.0	(29.4241, -98.4936)	(37.09024, -95.712891)	2013.0	1.0		A
57	36045	Santiago de Guayaquil	Ecuador	Santiago de Guayaquil		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Other	ISO 14064: Data generating activity Greenhouse Gas (GHG) multiplied by the emission factor (EF) or removal of GHG. Eg = Da x Efa, where, Eg = corresponds to the emission of GHG. Da = corresponds to the data of GHG generating activity. EFa = corresponds to emission factor generating activity.	CO2; CH4; N2O	6787374.0	5429899.0	1357475.0	This is our first year of calculation		2010.0	2350915.0	5862.0		2014.0	Banco Central del Ecuador, INEC (2010), Municipio de Guayaquil	26.0	5047.0		(-2.170998, -79.922359)	(-1.831239, -78.183406)	2014.0	1.0		A
31	50384	Prefeitura de Florianópolis	Brazil	Florianópolis		2016.0	2013-12-31 00:00:00	A metropolitan area	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	IDOM / COBRAPE / BID /PMF (2014)	CO2; PFCs; CH4; SF6; N2O; HFCs	1450465.0	1305206.0	145259.0	Increased	A diferença de emissões entre os anos é de 601.421 tCO2e, ou seja, houve um acréscimo de 42% em 2013 se comparado à 2010. Os setores de maior contribuição foram AFOLU, que deixou de sequestrar 6% e Transportes que passou a emitir 3% a mais.	2010.0	550000.0	8787850000.0	USD     US Dollar	2013.0	IBGE	20.0	438.0	3.0	(-27.5949884, -48.5481743)	(-14.235004, -51.92528)	2013.0	1.0		A
50	35894	Ville de Montreal	Canada	Montreal		2016.0	2009-12-31 00:00:00	Other: The regional entity that constitutes the agglomeration of Montreal (it is not the metropolitan area of Montreal whitch is bigger than the agglomeration of Montreal) - see Question 1 in the Introduction for more information	2006 IPCC Guidelines for National Greenhouse Gas Inventories	2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)	CO2; CH4; N2O	13722942.0	13634331.0	88611.0	Stayed the same	We have not produced a new inventory.	2011.0	1886481.0	120118000000.0	CAD     Canadian Dollar	2014.0	Ville de Montréal, Montréal en statistiques, http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887843&_dad=portal&_schema=PORTAL	6.8	500.0	17.0	(45.5086699, -73.5539925)	(56.130366, -106.346771)	2009.0	1.0		A
45	43912	City of Edmonton	Canada	Edmonton		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)	Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis.	CO2; CH4; N2O	16576702.0	10215142.0	6361560.0	Increased	"The changes from the 2013 dataset are as follows:Residential increased slightly, likely due to an increase in about 9,000 customers over the year, commercial increased energy consumption possibly due to a slight expansion in numbers, industrial showed a small decrease in emissions but we can't determine why, it was very much the same as 2013 values. All the vechicle fuel consumption numbers: gasoline, diesel, propane, natural gas for vehicles were very much the same as for 2013, ""Other"" emissions went up slightly due to an increase in some industrial sector emission due to production increases. Overall, total EMISSIONS in 2014 went up by 3.3% over 2013."	2014.0	878000.0	45969000000.0	CAD     Canadian Dollar	2014.0	Edmonton Chief Economist - Real GDP at Market Prices in 2007 dollars	3.6	684.0	671.0	(53.544389, -113.4909267)	(56.130366, -106.346771)	2014.0	1.0		A
49	50558	City of London, ON	Canada	London, ON		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	International Emissions Analysis Protocol (ICLEI)	as adapted by ICLEI Canada for use in the FCM's Partners for Climate Protection Program	CO2; CH4; N2O	3070000.0	2771000.0	299000.0	Increased	"Winter temperatures in 2014 were below normal (i.e., the ""Polar Vortex"") compared to 2013 (normal winter temperatures) and the unusually warm winter of 2012. As a result, overall natural gas use was up by eight percent in 2014 compared to 2013. Total greenhouse gas emissions from London have decreased compared to the peak in 2007. In 2014, greenhouse gas emissions were 19 percent lower than 2007. In fact, London's emissions in 2014 were six percent lower than the 1990 level used to benchmark emission reduction efforts. This is below the Kyoto Protocol objective (six percent below 1990) that Canada had previously committed to. 
Greenhouse gas emissions associated with electricity are significantly lower in 2014 (about 80 percent) than their peak in 2003. In 2014, only 0.1 percent of Ontario's electricity demand was generated by burning coal as these plants were shut down, and 10 percent was generated by burning natural gas. The rest of Ontario's electricity demand was met with emissions-free generation: 62 percent nuclear, 24 percent hydroelectric, 4 percent wind and other renewables. Conservation and peak demand reduction programs also contribute to lower emissions from power generation. Unfortunately, lower demand from the economic slow-down in manufacturing sector also contributes to lower emissions."	2014.0	375000.0	15400000000.0	CAD     Canadian Dollar	2014.0	Conference Board of Canada, London Census Metropolitan Area data prorated by population and adjusted to 2007	7.9	421.0	251.0	(42.9837, -81.2497)	(56.130366, -106.346771)	2014.0	1.0		A
48	42178	Distrito Metropolitano de Quito	Ecuador	Distrito Metropolitano de Quito	C40	2016.0	2011-12-31 00:00:00	A metropolitan area	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		CO2; CH4; N2O	5233350.0	4653611.0	579739.0	Decreased	The GHGs emissions in 2011, decreased in comparison to the 2007 projected GHGs emissions growth rate, particularly in the transport sector.	2010.0	2239191.0	15100000000.0	USD     US Dollar	2012.0	Ecuador Central Bank	22.0	4232.0	2815.0	(-0.2333, -78.5167)	(-1.831239, -78.183406)	2011.0	1.0		A
47	58489	Hoeje-Taastrup Kommune	Denmark	Hoeje-Taastrup Kommune		2016.0	2014-12-31 00:00:00	Administrative boundary of a local government	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	National standard for municipalities in Denmark	CO2	297000.0	173000.0	124000.0	Decreased	From 390.000 ton CO2 in 2009. Energy conservation activities, conversion from oil and electricity heating to district heating, less fossil fuel in the combined heat and power production as well as in the district heating	2016.0	50002.0	3402000000.0	USD     US Dollar	2012.0	Danmarks Statistik	8.1	78.0	27.0	(55.656328, 12.2898)	(56.26392, 9.501785)	2014.0	1.0		A
