	city name	City Name (CDP)	full city name (carbonn)	full city name (PKU)	full city name (GEA)	full city name (UITP)	full city name (WB)	Boundary (CDP)	city_type (carbonn)	definition  (WB)	study_year (WB)	Reporting Year (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Emissions Protocol	Gases included (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Scope 2 [metric ton CO2e] (CDP)	Total Emissions [metric ton CO2e] (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	scope fraction (CDP)	CO2 Emissions Per Capita (Ton) (PKU)	City Location (CDP)	lat	lon	coord source	country	region	Current Population (CDP)	Current Population Year (CDP)	pop (carbonn)	pop_yr (carbonn)	Urban Population (PKU)	population (GEA)	population (UITP)	population (WB)	population_year (WB)	population (others)	population (others) source year	population (others) source	pop_1950 (WB)	pop_1990 (WB)	pop_2010 (WB)	growth_rate_1950-2010 (WB)	growth_rate_1990-2010 (WB)	Ancillary from GEA+	Land area (in square km) (CDP)	area_size (GEA)	area_size (WB)	Built-up Area (km2) (PKU)	area [km2] (others)	area [km2] (others) source year	area [km2] (others) source	population_density (GEA)	population_density (UITP)	pop_density (WB)	pop/sqrt(area_size) (GEA)	pop/sqrt(area) (WB)	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	weather_station_id (GEA+)	CDD_23C (GEA+)	HDD_15.5C (GEA+)	HDD_15.5C (clim)	CDD_23C (clim)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)	GDP (carbonn)	nGDP (carbonn)	GDP unit (carbonn)	GDP year (carbonn)	GDP (10000 RMB) (PKU)	Income Per Capita (RMB) (PKU)	GDP-PPP [$BN] (others)	GDP-PPP/cap [$USD] (others)	GDP-PPP [$BN] (others) source	GDP-PPP year (others)	nGDP [$BN] (others)	nGDP/cap [$USD] (others)	nGDP [$BN] (others) source	nGDP [$BN] (others) source year	GDP-PPP/cap (GEA)	GDP-PPP/cap (UITP)	GDP-PPP/cap (WB)	total_final_consumption_per_capita (GEA)	energy_per_cap_CO2 (WB)	diesel_price (GEA+)	gasoline_price (GEA+)	center_of_commerce_index (GEA+)	household_size (GEA+)	year_household_size (GEA+)	household_source (GEA+)	comment_household_size (GEA+)	urbanization_ratio (GEA+)	water_bounded (GEA+)	other_bounded (GEA+)	mean travel time [min] (others)	mean travel time ref year (others)	mean travel time ref (others)	diesel_price (2014) (others)	gasoline_price (2014) (others)	household_size (updated) (others)	year_household_size (updated) (others)	household_source (updated) (others)	comment_household_size (updated) (others)	Congestion Rank (INRIX)	Peak hours spent in congestion (INRIX)	INRIX Congestion Index (INRIX)	Average Congestion Rate (INRIX)	Congestion Rank (TomTom)	Congestion Level (TomTom)	Congestion Change (TomTom)	Morning Peak (TomTom)	Evening Peak (TomTom)	economy (IESE)	environment (IESE)	governance (IESE)	human capital (IESE)	international impact (IESE)	mobility and transportation (IESE)	public management (IESE)	social cohesion (IESE)	technology (IESE)	urban planning (IESE)	CIMI (IESE)	CIMI Ranking (IESE)	CIMI Performance (IESE)	Urban Area Name (UEX)	Low BUA - 1990 (UEX)	Low BUA – 2000 (UEX)	Low BUA – 2014 (UEX)	High BUA - 1990 (UEX)	High BUA – 2000 (UEX)	High BUA – 2014 (UEX)	Low BUA % - 1990 (UEX)	Low BUA % – 2000 (UEX)	Low BUA % – 2014 (UEX)	High BUA % - 1990 (UEX)	High BUA % – 2000 (UEX)	High BUA % – 2014 (UEX)	Low BUA pop density - 1990 (UEX)	High BUA pop density – 1990 (UEX)	Low BUA pop density – 2000 (UEX)	High BUA pop density - 2000 (UEX)	Low BUA pop density – 2014 (UEX)	High BUA pop density - 2014 (UEX)	Exports (m3)	Production (m3)	Export/Production	CH4_waste/person	CH4_(waste+natgas)/person	corrected CH4_(waste+natgas)/person	data from CIA World Fact Book for 2014
184	Malang		City of Malang						Municipality				775422.0	carbonn	tCO2-eq	2017.0	Community - GPC																		-7.969633999999999	112.633156	carbonn	Indonesia	Southeast Asia			881794.0							887443.0	2016.0	Wikipedia											145.28	2016.0	Wikipedia											0	489					51827980000.0	60147601659.0434	USD	2017.0							60.147601659043396		carbonn, scaled to $BN USD																				0.8	0.93					85.0	39.0	9.1	20.4%																			Malang Urban Area	540.9375	629.0625	683.4375	223.0625	315.5	368.375	0.7080333769633509	0.6659829286045129	0.649771228236972	0.291966623036649	0.33401707139548703	0.35022877176302797	5354.23835692036	32572.7770399306	1070.02959716558	8209.17281258125	962.179234018015	7690.11796478178							
185	Manchester	Greater Manchester			Manchester	Manchester		A metropolitan area				2016.0	9587290.0	CDP	tCO2-eq	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3	A GPC Compliant dataset has been established for Greater Manchester, including primary data from 2013. This work has been undertaken by Anthesis, who also support the World Resources Institute in the development of Carbon Reduction and emissions reporting and trajectory methodologies and reporting tools.	Decreased	Emissions decreased from is 18.4 to 18 million tonnes between 2012 and 2013. This represents a change from our 2015 GHG emissions tonnage figure.  This is due to inclusion of scope 3 emissions included in the Basic/Basic+ element of the inventory which GM commissioned which is now compliant with  the Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI).  Previous submissions to CDP only included scope 1 and 2 emissions which drew directly from the national government DECC Local and Regional CO2 Emissions Estimates for 2005-2012 which used similar but not identical methodologies. This is part of a longer trend of decreasing emissions, punctuated with occasional increase years. Primary factors which determine the performance are the use of coal in any one year for grid electricity generation, and weather conditions during spring and autumn, where an extended heating season can occur if these are cold. A decline in total energy consumption is the most significant long term trend factor, due to the uptake of more energy efficient appliances, home adaptations, goods, services and transport	5302028.0	14889318.0	S1 derived from TOT - S2 in CDP2016 dataset	C	7730420.1820808	8184704.3358448	7957562.258962799	13032448.182080802	13486732.335844802	13259590.2589628	1.0		(53.4575955, -2.1578377)	53.467	-2.233333	https://en.wikipedia.org/wiki/Manchester	United Kingdom	Europe	2762000.0	2014.0				2553300.0	2578300.0			2547700.0	2001.0	(Greater Manchester) https://en.wikipedia.org/wiki/Demography_of_Greater_Manchester (census)						1.0	1277.0				1280.0		(Greater Manchester Larger Urban Zone) https://en.wikipedia.org/wiki/Demography_of_Greater_Manchester	2001.018809	5157.0				250.0	9.5	EGCC	2.0	2227.0	2020	0	87773000000.0		2013.0	UK ONS (using 1.56 USD/GBP) Figures provided is a GVA not GDP figure							92.26	35029.0	[1]	2014.0	82.0	31696.946269810596	[19]		30938.221751722114	14491.27		89.65282454836378		1.65	1.44		2.24	2004.0	http://www.urbanaudit.org		79.007	0.0	Mountains	42.9	2008	survey (ref??) http://www.telegraph.co.uk/motoring/news/3122428/Birmingham-worst-place-for-commuting-survey.html	1.99	1.92	2.32	2009	AGMA Association of Greater Manchester Authority, Update Report May 2010, https://www.google.fr/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwj9pP_ni-PUAhUMB8AKHZiiCHYQFggiMAA&url=http%3A%2F%2Fwww.manchester.gov.uk%2Fdownload%2Fdownloads%2Fid%2F14074%2Fgm_strategic_housing_market_assessment_shma_update_may_2010.pdf&usg=AFQjCNEDN9v51JM_Z_StiuQjckb6G_WpvQ		82.0	39.0	6.7	9.9%	39	0.38	0.01	68%	79%	52.0	73.0	22.0	25.0	103.0	125.0	63.0	37.0	100.0	76.0	68.59	57.0	RA	Greater Manchester Urban Area	513.75	556.4375	619.875	1155.6875	1191.5625	1248.3125	0.30773838493504496	0.318328089244851	0.331805560202068	0.6922616150649549	0.681671910755149	0.668194439797932	336.69987777681	4293.2338418773	465.270862418396	3489.2842169264195	387.76041460924597	3605.3017375429204	10550000000.0	40990000000.0	0.26	0.0181362582	0.026046306800000002	0.0240104197	
186	Melbourne	City of Melbourne			Melbourne	Melbourne		Administrative boundary of a local government				2016.0	785326.0	CDP	tCO2-eq	2015.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O; HFCs; PFCs; SF6	City of Melbourne includes the emissions sources categorised in the GPC. Emissions sources are converted to CO2e using the emissions factors listed in the Australian National Greenhouse Accounts. Electricity, gas and water data was provided directly by the utility companies. Emissions from private vehicle use were estimated using a transport model built by Council which incorporates data from twice yearly traffic surveys and data on vehicle use collected by the Australian Bureau of Statistics. The amount of waste produced within the municipality was estimated from a waste survey commissioned by Council and conducted in 2012. Water-borne emissions were included from a private study commissioned by the Port Authority in 2012.	Decreased	2013/14 BASIC (including Scope 3 emissions) totals 5,299,572 tCO2e compared to 2014/15 BASIC (including Scope 3 emissions) 5,268,410 tCO2e. This represents a total change of -0.59%. Despite electricity consumption decreasing in the municipality leading to lower scope 2 emissions, scope 1 and 3 emissions have increased. Over this time, the population has increased by 4.96%.	3587094.0	4372420.0		A	655280.7959641396	678018.7966391572	666649.7963016485	4242374.79596414	4265112.7966391565	4253743.796301648	1.0		(-37.814107, 144.96328)	-37.814	144.963056	https://en.wikipedia.org/wiki/Melbourne	Australia	Oceania	137889.0	2016.0				3892419.0	3138147.0			138000.0	2016.0	http://www.c40.org/cities/melbourne						1.0	38.0	2640.35			38.0	2016.0	http://www.c40.org/cities/melbourne	1474.2056924271405	1368.0		75751.08083130931		31.0	15.0	94868	177.0	685.0	1176	62	90600000000.0	AUD     Australian Dollar	2015.0	http://melbourne.geografia.com.au/							178.392	40244.0	[1]	2014.0	221.4	54344.62444771723	[3], [19]		37077.79718335081	21475.54		123.3448916984528		0.94	0.74	49.93	2.7	2011.0	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/1GSYD?opendocument&navpos=220#householdcomposition		88.182	1.0		37.32	2014-2017	https://www.numbeo.com/traffic/in/Melbourne [BASED ON 81 CONTRIBUTORS]	1.28	1.23	2.1	2011	http://www.censusdata.abs.gov.au/census_services/getproduct/census/2011/quickstat/CED231?opendocument&navpos=220 [Commonwealth Electoral Divisions, population 177,632]						58	0.33	0.04	55%	58%	26.0	60.0	5.0	38.0	50.0	22.0	23.0	28.0	29.0	15.0	82.06	14.0	RA	City of Melbourne Urban Area	568.375	573.9375	547.3125	1625.25	1686.625	1804.1875	0.259103082796741	0.253891454007576	0.232750372102913	0.740896917203259	0.746108545992424	0.7672496278970871	197.68924682827202	2117.2610551877	147.029399654286	1779.15156266958	92.16902972450491	2118.04496721947	31610000000.0	62640000000.0	0.5	0.0277933709	0.039682077	0.0336826837	
187	Mexico City	Mexico City			Mexico City		Mexico City 	Other: the inhabitants, commercial establishments, services and industries located in the territory of Mexico City area		City 	2000.0	2016.0	16842493.45	CDP	tCO2-eq	2014.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2; CH4; N2O; HFCs	Quality Assurance/Quality Control. Activities include calculations revision, data management, verification procedures and uncertainties calculation. With models adapted for the Mexico City	Decreased	Emissions Inventory has a reduction of  4% due to: • Lower consumption of fossil fuels in the residential sector • Emission factor from grid-supplier energy consumed was actualize in 2012 it was 0.652 t CO2/MWh, now for 2014 Emissions Inventory it´s 0.49 t CO2 /Mwh. • The percentage to estimated emission by distribution losses from grid supplied changed from 16.6% in 2012 to 13.85% in 2014. • Scope 3 emissions are higher becasuse the freight transport increased. We use vehicular traffic counts published by  the Secretaría de Comunicaciones y Transportes to know the number of vehicles entering and leaving to Mexico City, comparing  2012 vs 2014: Heavy trucks +28%,  tractor units +42%, private vehicles +8% • On the last inventory report (2012) we estimated the emissions from closed landfills (scope 1 and 3), now we estimated the residual emissions from closed landfills and active ones (newly open 2-3 years), as well as emissions from unmanaged landfills, like open dumpsites.; because of that, the 2014 emissions are bigger than 2012. •For water treatment in  2014 inventory we did a TOW (Total Organics in Wastewater) update for untreated wastewater, and we adjusted the TOW according to the type of treatment systems plants wastewater reported for 2014.	6812617.51	23655110.96		A	12529046.63334248	14883902.55921238	13706474.59627743	19341664.14334248	21696520.06921238	20519092.10627743	1.0		(19.4326077, -99.133208)	19.433	-99.133333	https://en.wikipedia.org/wiki/Mexico_City	Mexico	Latin America & Caribbean	8874724.0	2014.0				8669594.0		8669594.0	2000.0	8874724.0	2014.0	(Federal District) https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-52	2883000.0	15312000.0	20142000.0	1.0329301777633109	1.0138029101876942	1.0	1485.0	1485.0	1485.0		1485.49	2005.0	Federal District, https://en.wikipedia.org/wiki/List_of_cities_proper_by_population#cite_note-ConapoZM-53	5838.110437710438		5838.110437710438	224975.65917696923	224975.65917696923	2240.0	16.0	MMMX	113.0	487.0	5	2547	2582213000000.0	MXN     Mexican Peso	2014.0	INEGI							403.561	19239.0	[1]	2014.0	255.1	12680.817219267285	[3], [19] 		16813.599736191958		16813.599736191958	40.0053281534844	3.7	0.54	0.74	43.33	3.9	2010.0	http://www3.inegi.org.mx/sistemas/mexicocifras/default.aspx?e=9		76.308	0.0	Mountains	75.0		http://mexiconewsdaily.com/news/45-days-a-year-spent-commuting-in-cdmx/, citing research by the newspaper El Universal (cannot find original report) but in line with Instituto de Geografía 2008 report  http://www.ub.edu/geocrit/sn/sn-273.htm	1.02	1.03	3.4	2016	INEGI, http://www.beta.inegi.org.mx/app/areasgeograficas/?ag=24#		14.0	62.0	12.9	13.3%	1	0.66	0.07	96%	101%	38.0	138.0	29.0	81.0	56.0	33.0	71.0	154.0	73.0	83.0	62.22	87.0	RA	Mexico City Urban Area	958.25	1025.125	1061.75	1718.0625	1885.1875	2049.4375	0.35804862100371293	0.35223880597014895	0.34126840635609396	0.641951378996287	0.6477611940298511	0.658731593643906	1091.6189540695	8798.776292933679	1090.28353912532	10582.0358969681	1070.60092695138	10818.9758002786	2973000000.0	7800000000.0	0.38	0.0078818986	0.023195197400000003	0.0173584747	
188	Milano	Comune di Milano			Milano (Milan)	Milan		Administrative boundary of a local government				2016.0	3728678.0	CDP	tCO2	2013.0	Other	CO2	We didn't adopt any specific Protocol, anyway, let apart a few details,  the adopted methodology is compliant with the GPC Protocol. Just part of it. With respect to compact basic requirements (first year after the adhesion) only urban railway is missing, we are collecting data regarding this		The most reliable comparison (for data completeness and coherence in the methodology ) can be made with reference to year 2005. CO2 emissions decreased as a whole  This is partially due to a decrease in the electricty national emission factor (due to better technologies and to the increasing quota of renewable energy sources ). Anyway if we calculate the emission inventory in 2005 and 2013 with the same electricity emission factor there is still a decrease in emissions Despite a litlle increase in population there was a reduction both in the bulding and in the mobility sector. Regarding buildings there was a progressive fuel switch from diesel oils to methane, more efficient boilers, an extension of the district heating service and a reduction in domestic electricity consumption. We registered also a decrease in traffic that together with the renovation of circulating vehicles generated a decrease of CO2 emissions in the mobility sector	2248100.0	5976779.0		A							0.9999998326857996		(45.802578, 9.086356)	45.467	9.183333	https://en.wikipedia.org/wiki/Milan	Italy	Europe	1350680.0	2014.0				3721428.0	2460000.0			1350000.0	2016.0	http://www.c40.org/cities/milan						1.0	182.0				182.0	2016.0	http://www.c40.org/cities/milan	2000.0	7664.0				122.0	15.5	LIML	263.0	1649.0	2650	0											312.108	41147.0	[1]	2014.0	358.0	44777.98624140088	[19]		38940.598994452135	24971.84		108.35669323711221		1.63	1.57	54.73	1.95	2004.0	http://www.urbanaudit.org		67.58800000000001	0.0	Mountains	26.7	2009	TORONTO AS A GLOBAL CITY:Scorecard on Prosperity – 2015, pg. 25, report by Toronto Board of Trade (downloaded fie: Toronto_scorecard_2015.pdf)	2.01	2.14	1.8	2013	eurostat 2014 [http://ec.europa.eu/eurostat/cache/RCI/#?vis=city.statistics&lang=en]		137.0	33.0	5.6	9.0%	72	0.3	0.01	61%	54%	56.0	46.0	79.0	35.0	23.0	15.0	69.0	71.0	61.0	14.0	73.66	38.0	RA	Comune di Milano Urban Area	650.5	668.4375	675.3125	1338.0625	1395.5625	1478.625	0.327120721626803	0.323855377906977	0.313524649624235	0.672879278373197	0.676144622093023	0.686475350375765	831.3787684294749	9446.75429577895	299.89827721798304	3373.2132720011105	307.96181505085497	3413.2395707815003	68000000.0	7800000000.0	0.01	0.011383130900000002	0.0151458624	0.0151130591	
189	Minneapolis	City of Minneapolis			Minneapolis		Minneapolis 	Administrative boundary of a local government		City 	2005.0	2016.0	2890572.0	CDP	tCO2-eq	2014.0	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	CO2; CH4; N2O	"A note regarding how double counting is avoided for stationary sources: - natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector.  
- electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector."	Increased	Heating degree days increased 5.7% over the 2013 inventory, leading to a 8.9% increase in natural gas use.  The natural gas increase was the major contributor to the overall rise.  Electricity use fell 1.2%, while other categories changed less than 1% or total contribution to the inventory was negligible and of low confidence (solid waste).	1904136.0	4794708.0		A	2483930.4209274207	2688771.821248866	2586351.121088144	4388066.420927421	4592907.821248867	4490487.121088143	1.0		(44.983334, -93.26667)	44.983	-93.266667	https://en.wikipedia.org/wiki/Minneapolis	USA	North America	407207.0	2014.0				378622.6779574728		387711.0	2005.0	413651.0	2016.0	https://www.census.gov/quickfacts/fact/table/minneapoliscityminnesota/PST045216	996000.0	2087000.0	2802000.0	1.0173884740241272	1.014839316394866	1.0	139.8	151.3	151.3		139.7817603	2010.0	https://www.census.gov/quickfacts/fact/table/neworleanscitylouisiana,minneapoliscityminnesota,losangelescitycalifornia/PST045216	2502.4631722238787		2562.531394580304	30781.314262996588	31520.177815553707	264.0	7.9	KMSP	193.0	3512.0	1428	27	235700000000.0	USD     US Dollar	2014.0	http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=33460&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels							211.398	60544.0	[1]	2014.0	181.0	54948.39101396479	[19]		59580.91142860075		59580.91142860075	157.36223659400804	18.28	0.78	0.56		2.53	2010.0	http://factfinder2.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=DEC_10_DP_DPDP1&prodType=table		80.73100000000001	0.0		22.7	(2011-2015) 		0.97	0.86	2.27	2011-2015	https://www.census.gov/quickfacts/fact/table/minneapoliscityminnesota/PST045216		81.0	40.0	6.4	6.9%	166	0.16	0.01	27%	42%														City of Minneapolis Urban Area	587.9375	582.375	577.875	1302.9375	1436.3125	1531.0	0.31093409135982	0.288491903774111	0.274020508564993	0.6890659086401801	0.7115080962258891	0.725979491435007	242.96315132669997	1236.25317635553	321.661220859692	1367.2971944589099	290.55508407483	1409.1338512913	42870000000.0	766200000000.0	0.06	0.017698981699999998	0.036729479100000004	0.0356646952	
190	Moita	Município de Moita						Administrative boundary of a local government				2016.0	49910.0	CDP	tCO2	2013.0	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	CO2	This energy consumption ´s data were collected from Directorate General for Energy and Geology (DGEG)	Decreased	Consumption reduction	46598.0	96508.0		A							1.0		(41.30284, -8.65731)	38.65	-8.983333	https://en.wikipedia.org/wiki/Moita	Portugal	Europe	66029.0	2011.0								66029.0	2011.0	https: THIS MOITA IS NEAR LISBON, NOT NEAR PORTO ACCORDING TO CDP LAT/LON COORDS.//en.wikipedia.org/wiki/Moita. NB:							55.0				55.26		https://en.wikipedia.org/wiki/Moita						10.0	17.5				464	73														2008.0																				36.86701308699	2011	Statistics Portugal, Population and housing census – 2001; https://www.ine.pt/xportal/xmain?xpid=INE&xpgid=ine_indicadores&indOcorrCod=0000685&selTab=tab0&xlang=en	1.64	1.89																											see: Lisbon Urban Area																			0.0	1.0	0.0	0.0311275785	0.036136885099999995	0.036136885099999995	
191	Montreal	Ville de Montreal				Montreal		Other: The regional entity that constitutes the agglomeration of Montreal (it is not the metropolitan area of Montreal whitch is bigger than the agglomeration of Montreal) - see Question 1 in the Introduction for more information				2016.0	13634331.0	CDP	tCO2-eq	2009.0	2006 IPCC Guidelines for National Greenhouse Gas Inventories	CO2; CH4; N2O	2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)	Stayed the same	We have not produced a new inventory.	88611.0	13722942.0		A	9752290.921698593	11159093.926538484	10455692.424118536	9840901.921698593	11247704.926538484	10544303.424118536	1.0		(45.5086699, -73.5539925)	45.5	-73.56666700000001	https://en.wikipedia.org/wiki/Montreal	Canada	North America	1886481.0	2011.0					3224130.0			1704694.0	2016.0	https://en.wikipedia.org/wiki/Montreal#cite_note-cp2016-2						1.0	500.0				431.5	2016.0	https://en.wikipedia.org/wiki/Montreal#cite_note-mamrot-1		3170.0				17.0	6.8	CWTA			1579	14	120118000000.0	CAD     Canadian Dollar	2014.0	Ville de Montréal, Montréal en statistiques, http://ville.montreal.qc.ca/portal/page?_pageid=6897,67887843&_dad=portal&_schema=PORTAL							155.905	38867.0	[1]	2014.0	151.0	39129.30811090957	[19]			16065.68				0.9	0.76	51.6					80.122			29.7	2011	2011 census, Table 2 in http://www12.statcan.gc.ca/nhs-enm/2011/as-sa/99-012-x/99-012-x2011003_1-eng.pdf	1.16	1.17	2.8	2011	average number of persons per census family [http://www12.statcan.ca/nhs-enm/2011/dp-pd/prof/details/page.cfm?Lang=E&Geo1=CSD&Code1=2466023&Data=Count&SearchText=montreal&SearchType=Begins&SearchPR=24&A1=All&B1=Families%20and%20households&Custom=&amp;TABID=1#tabs2]		27.0	52.0	9.7	14.0%	86	0.29	0.03	48%	59%	29.0	65.0	8.0	54.0	52.0	90.0	32.0	46.0	47.0	34.0	76.49	31.0	RA	Ville de Montreal Urban Area	321.75	326.0	321.3125	892.5625	968.3125	1052.5625	0.264964743424777	0.25187116712540397	0.23387316895641896	0.7350352565752231	0.748128832874596	0.7661268310435809	433.49417556521104	2060.95337453851	390.126783050952	3098.0267911601	258.006415062165	3271.4441198558197	77960000000.0	151500000000.0	0.51	0.046860437000000005	0.1017275144	0.0734936045	
192	Msunduzi		Msunduzi Local Municipality		Msunduzi 				Municipality				1289214.0	carbonn	tCO2-eq	2015.0	Community - GPC																		-29.6179	30.3825	carbonn	South Africa	Africa			618536.0	2011.0		562373.0				618536.0	2011.0	Wikipedia						1.0		634.0			634.0	2011.0	Wikipedia	887.0236593059936			22334.68505161623				FADN	292.0	93.0	356	74					178449310508.0	210255077800.522	USD	2011.0											5472.649602184845			52.0		0.95	0.87		4.58	2007.0	http://www.statssa.gov.za/community_new/content.asp?link=interactivedata.asp	Calculation: pop/household (616733/134390)	59.256	0.0	Mountains				1.17	1.19																											Msunduzi Urban Area	86.5625	105.375	119.75	79.375	104.375	111.0625	0.52165725047081	0.5023837902264601	0.518819388031411	0.47834274952919	0.49761620977354	0.48118061196858897	458.032659389043	7490.96734669479	1136.96441404767	3477.65041674597	1065.24291440684	3887.3772979958003							
193	Mudanjiang			Mudanjiang									744132.0123810002	PKU	tCO2	2010.0	Other																0.462093915341		44.55	129.633333333	wikipedia	China	East Asia					1610348.0					965154.0		wikipedia, urban values										74.3	2495.0		(urban), from wikipedia											4737	7									2354881.0	32498.01				2008.0	4.0	4145.07772021	[19]																				1.09	1.17																											Mudanjiang Urban Area	53.3125	56.6875	60.0	93.4375	97.625	103.5	0.363287904599659	0.367355204536249	0.3669724770642199	0.6367120954003411	0.632644795463751	0.63302752293578	802.2269802675729	7039.664096435121	906.03924032313	7747.269849183771	750.726131184182	7651.12212119356							
194	Naga		City of Naga						Special municipality / Federal district				243527.0	carbonn	tCO2-eq	2014.0	Community																		13.62178	123.194824	carbonn	Philippines	Southeast Asia			196003.0	2015.0						115750.0	2015.0	Wikipedia											101.97	2015.0	Wikipedia											0	1280						568720837.96945																															0.82	1.05																											Naga Urban Area	80.625	86.625	91.8125	21.25	28.1875	41.875	0.791411042944785	0.754491017964072	0.6867695184665731	0.208588957055215	0.245508982035928	0.31323048153342703	824.955043284666	6638.846621948471	1243.0375060372198	4418.57051265742	1614.6357157105401	5211.18328315393							
195	Nagoya	City of Nagoya						Administrative boundary of a local government				2016.0	7690000.0	CDP	tCO2-eq	2013.0	Other	CO2; CH4; N2O; HFCs; PFCs; SF6	コメント欄のとおり: 地球温暖化対策地方公共団体実行計画（区域施策編）策定マニュアル（第１版）に基づき、市内における人為的な活動に伴う排出量を把握している。	Decreased	市内におけるエネルギー消費量が減少したことに加えて、電気事業者の取組みによって電力原単位が改善したことが大きく影響している。	5730000.0	13420000.0		A	7506123.401282793	7529624.57875489	7517873.990018841	13236123.401282793	13259624.578754887	13247873.99001884	1.0		(35.181446, 136.906398)	35.183	136.9	https://en.wikipedia.org/wiki/Nagoya	Japan	East Asia	2274511.0	2015.0								2215062.0	2015.0	(Designated City) https://en.wikipedia.org/wiki/Nagoya							326.0				326.45	2015.0	(Designated City) https://en.wikipedia.org/wiki/Nagoya						18.3	16.1				2006	71	11847100000000.0	JPY     Japanese yen	2012.0	本市統計							363.751	40144.0	[1]	2014.0	444.0	49653.32140460747	[19]																	30.7			1.1	1.38	2.17	2015	http://www.city.yokohama.lg.jp/ex/stat/jinko/city/new-e.html											51.0	38.0	113.0	14.0	147.0	100.0	64.0	32.0	155.0	128.0	63.71	81.0	RA	City of Nagoya Urban Area	1077.125	1072.1875	1055.8125	2928.5625	3064.0625	3141.5625	0.268898909363249	0.259217286189181	0.25154114178504394	0.7311010906367509	0.7407827138108191	0.748458858214956	436.03573736854304	5656.18318972176	293.4693244681	2896.7485350814	279.87304146179	2937.92259052792	0.0	1.0	0.0	0.0025182088	0.0028872234	0.0028872234	
196	Nagpur		Nagpur Municipal Corporation						Municipality				1534552.31	carbonn	tCO2-eq	2007.0	Community																		21.15	79.09	carbonn	India	South Asia			2405421.0	2011.0						2497870.0	2011.0	Wikipedia											227.36	2011.0	Wikipedia											0	1488						4719820245.6867285									4.719820245686731		carbonn, scaled to $BN USD																				0.91	1.1																											Nagpur Urban Area	148.875	172.875	215.5	187.4375	219.0	244.3125	0.44266864895000896	0.44114832535885207	0.468669294549409	0.557331351049991	0.5588516746411479	0.531330705450591	2529.7381624661302	24019.5153272052	1285.3949871959	12224.7441765772	1128.54516810426	12722.5080404021							
197	Nanchang			Nanchang	Nanchang								2484926.25	PKU	tCO2	2010.0	Other																0.75		28.6833333333	115.883333333	wikipedia	China	East Asia					3313235.0	4839599.999999999				2357839.0		wikipedia, urban values						1.0		7372.0		300.9	617.0		(urban), from wikipedia	656.4839934888766			56365.946589130974				ZSCN	756.0	974.0	988	592									15009764.0	38344.43	0.00075		[1]	2014.0	5.0	2631.57894737	[19]		7090.736905168897			42.58607130629218		1.01	0.99		3.61	2003.0	http://www.stats.gov.cn/english/statisticaldata/yearlydata/yarbook2003_e.pdf	"For ""Jiangxi"""	42.522	0.0	Mountains, Large River				1.09	1.17																											Nanchang Urban Area	298.375	353.8125	406.4375	208.0	267.375	400.875	0.58923722537645	0.5695744038635681	0.5034450723852291	0.41076277462354993	0.430425596136432	0.496554927614771	1830.3347596007602	14281.1846911797	1164.23364819161	10070.538084921	983.771899363318	8499.94421020118							
