	city name	Average altitude (m)	Average annual temperature (in Celsius) (CDP)	Boundary (CDP)	Built-up Area (km2) (PKU)	CDP2016 data edited (CDP)	CH4_(waste+natgas)/person	CH4_waste/person	CO2 Emissions Per Capita (Ton) (PKU)	City GDP (CDP)	City Location (CDP)	City Name (CDP)	Current Population (CDP)	Current Population Year (CDP)	Emissions Quality Flag (CDP)	Emissions Protocol	Export/Production	Exports (m3)	GDP (10000 RMB) (PKU)	GDP Currency (CDP)	GDP Source (CDP)	Gases included (CDP)	Income Per Capita (RMB) (PKU)	Increase/Decrease from last year (CDP)	Land area (in square km) (CDP)	Methodology Details (CDP)	Production (m3)	Reason for increase/decrease in emissions (CDP)	Reporting Year (CDP)	S1 lower bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	Scope-1 GHG emissions	Scope-1 source dataset	Scope-1 GHG emissions units	Year of Emission	Scope 2 [metric ton CO2e] (CDP)	TOT lower bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	Total Emissions [metric ton CO2e] (CDP)	Urban Population (PKU)	Year of GDP (CDP)	city_type (carbonn)	corrected CH4_(waste+natgas)/person	country	data from CIA World Fact Book for 2014	full city name (PKU)	full city name (carbonn)	GDP unit (carbonn)	GDP (carbonn)	GDP year (carbonn)	lat (carbonn)	lon (carbonn)	nGDP (carbonn)	pop (carbonn)	pop_yr (carbonn)	region	scope fraction (CDP)
272	Dalian				513.5				2.29926470118							Other			34322142.0				46214.99										11448360.8442	PKU	tCO2	2010.0						4979140.0				China		Dalian										East Asia	
23	Dallas	148.0	19.4	Administrative boundary of a local government			0.0367294791	0.017698981699999998		98746000000.0	(32.7801399, -96.8004511)	City of Dallas	1257676.0	2013.0	A	Other	0.06	42870000000.0		USD     US Dollar	City of Dallas Economic Development	CO2; CH4; N2O		Decreased	999.0	Methodology included a combination of Environmental Protection Agency (EPA) reported emission factors and EPA recommended emission modeling tools.	766200000000.0	Increased use of renewable sources of electricity and on-site energy production.	2016.0	-1136048.6736099457	-819718.0199243815	-503387.3662388176	119881.0	CDP	tCO2-eq	2010.0	17109507.0	15973458.326390054	16289788.980075618	16606119.633761182	17229388.0		2013.0		0.0356646952	USA												North America	1.0
276	Dandong				95.2				0.441072141057							Other			2609429.0				25111.7										650633.4545720001	PKU	tCO2	2010.0						1475118.0				China		Dandong										East Asia	
286	Daqing				207.5				2.103472							Other			26330980.0				49135.63										3884885.60902	PKU	tCO2	2010.0						1846892.0				China		Daqing										East Asia	
268	Datong				185.4				0.822655480591							Other			5638726.0				36137.7										1498970.42305	PKU	tCO2	2010.0						1822112.0				China		Datong										East Asia	
171	Davis, CA	15.0	23.0	Administrative boundary of a local government		CDP2016 TOT likely wrong because one scope is missing.	0.0367294791	0.017698981699999998			(38.544907, -121.740517)	City of Davis, CA	65600.0	2010.0	E	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar		CO2; CH4; N2O; HFCs		Decreased	25.0	The City updated the inventory in 2012 using the latest available data from 2010.	766200000000.0	Lower carbon emission electricity energy mix (grid).	2016.0	282928.08785664	299427.79913504	315927.51041344	348437.0	CDP	tCO2-eq	2010.0		282928.08785664	299427.79913504	315927.51041344	348437.0		2016.0		0.0356646952	USA												North America	
220	Dehradun															Community																	1316744.0	carbonn	tCO2-eq	2008.0								Municipality		India			Dehradun Municipal Corporation				30.318	78.029	878670829.17314	447808.0	2001.0	South Asia	
43	Denver	1609.0	10.1	Administrative boundary of a local government			0.0367294791	0.017698981699999998		187111000000.0	(39.737567, -104.9847179)	City of Denver	663862.0	2014.0	A	Other	0.06	42870000000.0		USD     US Dollar	BEA Denver Metro Area	CO2; CH4; N2O		Decreased	401.0	"The methodology is explained in more detail in the peer-reviewed  journal paper ""A Demand-Centered, Hybrid Life-Cycle Methodology for City-Scale Greenhouse Gas Inventories"" located at http://pubs.acs.org/doi/abs/10.1021/es702992q ."	766200000000.0	Denver saw a slight decrease over 2013 emissions, primarily due to reductions in the built environment.  Although Denver is currently undergoing a construction boom,our sole utilities electricity emission factor has fallen as a result of increased renewables and power plant switches away from coal and on to natural gas.	2016.0	3894059.7952238526	4061034.3581613707	4228008.921098889	4557000.0	CDP	tCO2-eq	2014.0	4385000.0	8279059.795223853	8446034.358161371	8613008.921098888	8942000.0		2014.0		0.0356646952	USA												North America	1.0
177	Detroit	192.0	9.0	Administrative boundary of a local government		S1 derived from TOT - S2 in CDP2016 dataset	0.0367294791	0.017698981699999998		186000000000.0	(42.331427, -83.0457538)	City of Detroit	688701.0	2013.0	C	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0		USD     US Dollar	BEA, BLS, Brookings	CO2; CH4; N2O		Stayed the same	359.0		766200000000.0	This is the only inventory we have done.  The data has not been updated	2016.0	4832495.285029815	5005717.352974104	5178939.420918392	5520240.0	CDP	tCO2-eq	2012.0	4809082.0	9641577.285029814	9814799.352974102	9988021.420918392	10329322.0		2010.0		0.0356646952	USA												North America	1.0
55	District of Columbia		14.7	Administrative boundary of a local government			0.0367294791	0.017698981699999998		116378000000.0	(38.9071923, -77.0368707)	District of Columbia	672228.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar	U.S. Bureau of Economic Analysis	CO2; CH4; N2O		Increased	158.0	Emissions reported here are based on the GPC. Previous inventories, and the District's baseline were calculated using the U.S. community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	766200000000.0	Emissions increased 2.3% from 2012 to 2013 due primarily to a colder winter and resulting increase in energy consumption for heating purposes. 2013 emissions have been updated from what was previously reported in order to reflect updated emission factors for grid electricity now available from the U.S. EPA. (EGrid 2012).	2016.0	2461491.411702643	2630570.190868135	2799648.970033627	3132786.0	CDP	tCO2-eq	2013.0	4253621.0	6715112.411702642	6884191.1908681365	7053269.970033628	7386407.0		2014.0		0.0356646952	USA												North America	1.0
152	Dublin	85.0	10.0	Administrative boundary of a local government			0.0284408491	0.0096132215		29018660000.0	(53.344479, -6.270843)	Dublin City Council	527612.0	2011.0	D	Other	0.0	0.0		EUR     Euro	Brookings Institution	CO2		This is our first year of calculation	115.0	See LGO1.3 attachment	1.0		2016.0					CDP	tCO2	2011.0					2942349.0		2011.0		0.0284408491	Ireland												Europe	
33	Durban	426.0	24.0	Other: geopolitical boundary - physical areas over which local government has jurisdictional control			0.0139613383	0.0122306776		2308000000.0	(-29.8586804, 31.0218404)	City of Durban	3555868.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.0	0.0		ZAR     South African Rand		CO2; CH4; N2O		Increased	2292.0		1.0	Due to better data collection and addressing data gaps.	2016.0	10291759.069251956	10377915.083279783	10464071.09730761	11681810.0	CDP	tCO2-eq	2014.0	10905271.0	21197030.06925196	21283186.08327978	21369342.097307608	22587081.0		2015.0		0.0139613383	South Africa												Africa	1.0
68	Durham		15.0	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(35.994, -78.8986)	City of Durham	250815.0	2015.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0				CO2; CH4; N2O		Decreased	277.0		766200000000.0	weather, changed the way we were calculating	2016.0	1722603.265255536	1785688.251296571	1848773.237337606	1973070.0	CDP	tCO2-eq	2015.0	2557399.0	4280002.265255536	4343087.2512965705	4406172.237337606	4530469.0				0.0356646952	USA												North America	1.0
77	Edmonton	671.0	3.6	Administrative boundary of a local government			0.1017275144	0.046860437000000005		45969000000.0	(53.544389, -113.4909267)	City of Edmonton	878000.0	2014.0	A	International Emissions Analysis Protocol (ICLEI)	0.51	77960000000.0		CAD     Canadian Dollar	Edmonton Chief Economist - Real GDP at Market Prices in 2007 dollars	CO2; CH4; N2O		Increased	684.0	Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis.	151500000000.0	"The changes from the 2013 dataset are as follows:Residential increased slightly, likely due to an increase in about 9,000 customers over the year, commercial increased energy consumption possibly due to a slight expansion in numbers, industrial showed a small decrease in emissions but we can't determine why, it was very much the same as 2013 values. All the vechicle fuel consumption numbers: gasoline, diesel, propane, natural gas for vehicles were very much the same as for 2013, ""Other"" emissions went up slightly due to an increase in some industrial sector emission due to production increases. Overall, total EMISSIONS in 2014 went up by 3.3% over 2013."	2016.0	8408375.226971999	8735750.121882001	9063125.016792	10215142.0	CDP	tCO2-eq	2014.0	6361560.0	14769935.226972	15097310.121882001	15424685.016792001	16576702.0		2014.0		0.0734936045	Canada												North America	1.0
193	Ekurhuleni															Community																	19330397.0	carbonn	tCO2-eq	2014.0								Independent municipality		South Africa			Ekurhuleni Metropolitan Municipality	USD	25980000000.0	2014.0	26.223000000000006	28.167	30306916704.4094	3178470.0	2011.0	Africa	
88	Emeryville, CA	7.0	15.1	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(37.831316, -122.285247)	City of Emeryville, CA	10570.0	2014.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.06	42870000000.0		USD     US Dollar		CO2; CH4; N2O		Decreased	5.2		766200000000.0		2016.0	116582.67680860801	119241.243092338	121899.809376068	127138.0	CDP	tCO2-eq	2014.0	40590.0	157172.676808608	159831.243092338	162489.809376068	167728.0				0.0356646952	USA												North America	1.0
107	Eugene	130.0	11.2	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(44.0519, -123.0867)	City of Eugene	151190.0	2013.0	A	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	0.06	42870000000.0				CO2; CH4; N2O		Decreased	113.0	Used the community GHG accounting tool available from ICLEI at the time (2006/2007)	766200000000.0	Reductions in vehicle miles travelled, reduced manufacturing locally, warmer winters.	2016.0	955269.932515936	993297.2396528459	1031324.5467897559	1106250.0	CDP	tCO2-eq	2015.0	137500.0	1099019.932515936	1137047.239652846	1175074.546789756	1250000.0				0.0356646952	USA												North America	0.995
10	Faro	200.0	17.8	Administrative boundary of a local government			0.0361368851	0.0311275785		13231.0	(37.019355, -7.93044)	Faro	61214.0	2014.0	A	Other	0.0	0.0		EUR     Euro	INE(2013) Estudo do poder de compra	CO2		Stayed the same	202570.0	Irradiare Science of evolution	1.0	The data was collected in 2010	2016.0				128.0	CDP	tCO2	2010.0	138.0				265.85		2013.0		0.0361368851	Portugal												Europe	1.0005642279480909
153	Ferrara	9.0	15.5	Administrative boundary of a local government			0.0151458624	0.011383130900000002			(44.8357395, 11.6189949)	Comune di Ferrara	133155.0	2015.0	D	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.01	68000000.0				CO2; CH4; N2O; HFCs; PFCs; SF6; NF3		Decreased	404.0	"The Baseline Emissions Inventory (BEI) was created according to the methodological instrument made available by Emilia-Romagna Region, with the technical-scientific support of the ARPA (Regional Agency for the Prevention and the Environment) within the Climate Plans regional work group, in which the Municipality of Ferrara participates. The cognitive foundation for producing the inventory is represented by the regional inventory of greenhouse gas emissions, created by the Emilia-Romagna Region and ARPA Emilia-Romagna, according to the standard methods of estimation recognised on an international level (IPCC, CORINAIR). To construct this regional inventory, the INEMAR software was used (INventario EMissioni ARia: Air Emissions Inventory), which consists of an application system created to estimate the emissions of various pollutants, for various types of activity (e.g.: heating, traffic, agriculture and industry) and by type of fuel, according to the international classification adopted in the field of EMEP-CORINAIR inventories. As envisaged by the Intergovernmental Panel on Climate Change (IPCC) Guidelines, in order to calculate emissions, the “bottom‐up” method was used, based on the sector end-use of fuels. In those cases where it was not possible to obtain accurate data, particularly concerning territorial data, a ""top-down"" approach was used, resorting to statistical processing of data aggregated at a provincial level. The overall picture of emissions of the Terre Estensi Association was built from the emissions inventory of the individual Municipalities of Ferrara, Masi Torello and Voghiera that constitute the Association, making the sum of the contributions of the three Municipalities. In line with the agreements within the Regional Work Group on Climate Plans, the year 2007 was chosen as a baseline reference year. The classification of the sources was created in accordance with the Cartesio Guidelines, which correspond with the ICLEI Protocol and ISO 14064."	7800000000.0	Measures foreseen in the SEAP has been properly implemented.	2016.0					CDP	tCO2-eq	2007.0		1526258.5072351058	1533211.7274876996	1540164.9477402938	1582605.13				0.0151130591	Italy												Europe	
24	Flagstaff	2134.0	6.5	Administrative boundary of a local government			0.0367294791	0.017698981699999998		4801000000.0	(35.1992, -111.6311)	City of Flagstaff	68667.0	2013.0	A	Other	0.06	42870000000.0		USD     US Dollar	U.S. Department of Commerce	CO2		Stayed the same	165.0	Formulas taken from The Climate Registry: Pacificorp Data ('07 Generation)	766200000000.0	City is growing at very slow rate, so emissions have not changed considerably over past three years of measuring.	2016.0				621293.07	CDP	tCO2	2014.0	590324.4				1211617.47		2010.0		0.0356646952	USA												North America	1.0
75	Florianópolis	3.0	20.0	A metropolitan area			0.0204194776	0.0151203426		8787850000.0	(-27.5949884, -48.5481743)	Prefeitura de Florianópolis	550000.0	2010.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.69	11700000000.0		USD     US Dollar	IBGE	CO2; CH4; N2O; HFCs; PFCs; SF6		Increased	438.0	IDOM / COBRAPE / BID /PMF (2014)	17030000000.0	A diferença de emissões entre os anos é de 601.421 tCO2e, ou seja, houve um acréscimo de 42% em 2013 se comparado à 2010. Os setores de maior contribuição foram AFOLU, que deixou de sequestrar 6% e Transportes que passou a emitir 3% a mais.	2016.0	1046811.7023	1059582.2131299998	1072352.72396	1305206.0	CDP	tCO2-eq	2013.0	145259.0	1192070.7023	1204841.2131299998	1217611.72396	1450465.0		2013.0		0.0167788505	Brazil												Latin America & Caribbean	1.0
194	Fort Collins															Community																	2055587.0	carbonn	tCO2-eq	2016.0								Municipality		USA			City of Fort Collins				40.58526	-105.084	9683508064.61925	164207.0	2016.0	North America	
274	Fushun				142.3				0.976612							Other			6631375.0				36060.07										1495948.8696899998	PKU	tCO2	2010.0						1531774.0				China		Fushun										East Asia	
278	Fuxin				79.1				0.399284933976							Other			1991737.0				26098.08										381202.916456	PKU	tCO2	2010.0						954714.0				China		Fuxin										East Asia	
301	Fuzhou				518.1				1.6308398700100002							Other			15435522.0				38012.8										7188866.090810001	PKU	tCO2	2010.0						4408076.0				China		Fuzhou										East Asia	
221	Gandhinagar															Community																	5424749.0	carbonn	tCO2-eq	2011.0								Municipality		India			Gandhinagar Municipal Corporation				23.22	72.68	408715911.832607	208299.0	2011.0	South Asia	
154	Genova	19.0	15.0	Administrative boundary of a local government			0.0151458624	0.011383130900000002		25977591566.0	(44.347961, 9.318415)	Comune di Genova	592995.0	2014.0	D	Other	0.01	68000000.0			www.ilsole24h.com	CO2		Other	1118.0	The data that have been monitored by MEI 2011 and reported on SEAP	7800000000.0	Is not possible a comparison because the categories are quantified differently	2016.0					CDP	tCO2	2011.0					1810370.0		2015.0		0.0151130591	Italy												Europe	
123	Gladsaxe Kommune			A metropolitan area		Replaced by CDP2017 data. Reason:  TOT >> s1+s2 (Case 2b) in CDP2016. Soln: Replace with CDP2017 data (no edits required).	0.01703133	0.0106834006		35234000.0	(55.733461, 12.488686)	Gladsaxe Kommune	67347.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.7	4517000000.0		DKK     Danish Krone	Statistic Denmark	CO2; CH4; N2O		Decreased	24.9		6412000000.0	Energy saving plans, projects and goals. Expansion of district heating which provide Citizens and Companies with eco-friendly heating.	2017.0	223915.4155209168	225684.27803754358	227453.1405541704	247599.0	CDP	tCO2-eq	2015.0	83684.0	307599.4155209168	309368.27803754364	311137.1405541704	331283.0		2014.0		0.0125594652	Denmark												Europe	1.0
137	Goiânia	749.0	23.2	Administrative boundary of a local government			0.0204194776	0.0151203426		30131330.0	(-16.6868912, -49.2647943)	City of Goiânia	2173141.0	2010.0	D	Other	0.69	11700000000.0		BRL     Brazilian Real	IBGE - Brazilian Institute of Geography and Statistical				739.0	"The Protocol for Global Community - Scale GHG Emissions (GPC 2012) was used as standard for the categorization and allocation of emissions and aggregation of results. The GPC consists of a compilation of guidelines for the preparation of municipal inventories of GHG emissions. The GPC 2012 shares the terminology of various international programs reporting of emissions, including the C40 Cities Climate Leadership Group, the International Local Government GHG Emissions Analysis Protocol (IEAP-ICLEI) and the GHG Protocol Corporate Accounting and Reporting Standard. Moreover, GPC 2012 converses directly with the IPCC 2006 Guidelines for National GHG Inventories. Aiming at a broad identification of emission sources and the establishment of a flow of information necessary for the completion of this study, four teams were created themes, being: stationary units, mobile units, and waste, industrial processes and product uses. The teams were grouped in four thematic workshops held between 26 and 27 June 2012 at the Administrative Center of the city of Goiania. During the implementation of these workshops were identified institutions and those responsible for sending the information necessary for calculations of emissions of greenhouse gases in the municipality.
For calculations of GHG emissions used the IPCC Inventory Software (IIS) version 2.0, a software developed and provided by the Intergovernmental Panel on Climate Change (IPCC). The data were placed on the software as a correspondence between GPC and IPCC categories, except in the case of the activities of electricity consumption (scope 2 emissions, the GPC category that has no corresponding IPCC - these emissions have been included in Section 5 – other). Another category that deserves observation refers to the disposal of solid waste in landfills. For this category we used the GPC, which allocates all expected emissions inventory in the year in which the waste is landfilled, IIS was not used for the calculation of this emission source."	17030000000.0		2016.0					CDP	tCO2-eq	2010.0		995361.377276226	1045819.7785046204	1096278.1797330151	2016320.0		2010.0		0.0167788505	Brazil												Latin America & Caribbean	
195	Graz															Community																	1218740.0	carbonn	tCO2-eq	1994.0								Independent municipality		Austria			City of Graz	USD	19522.0	2012.0	47.0667	15.4333	22917.3806692355	269997.0	2014.0	Europe	
25	Greater London	35.0	11.0	Administrative boundary of a local government			0.0260463068	0.0181362582		491550000000.0	(51.504858, -0.078689)	Greater London Authority	8600000.0	2015.0	A	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	0.26	10550000000.0		USD     US Dollar	An indicative value for London's GDP has been estimated from 2014 per capita data ($57,157) published by Brookings (http://www.brookings.edu/research/reports2/2015/01/22-global-metro-monitor)	CO2; CH4; N2O		Increased	1572.0	London's inventory is in line with the GPC, but in 2013 does not fully break down emissions according to GPC requirements. Stationary - Published central government datasets used for energy consumption and CO2 emissions from homes (residential buildings) and workplaces (commercial, industrial and government buildings and facilities). Mobile - The London Atmospheric Emissions Inventory (in-house model) is used to calculate distances travelled from transport of people and goods by  road, railways, water-borne navigation, aviation, and off-road surface transport. National emissions factors are applied.	40990000000.0	London's absolute CO2 emissions decreased slightly in 2013 on 2012 levels. As London reports its CO2 emissions as non weather-corrected, the decrease in 2013 may be partially due to a milder winter in 2013 compared to 2012, and therefore a higher number of heating degree days in 2012 compared to 2013. The use of coal in electricity generation also decreased at the national level. London's emissions fell by 11% on 1990 levels, and, significantly, despite an unprecedented increase in London's population, London's per capita emissions remain the UK's lowest at 4.8 tonnes.	2016.0	14838290.936239999	15545539.98084	16252789.02544	20620000.0	CDP	tCO2-eq	2013.0	19570000.0	34408290.93624	35115539.980840005	35822789.02544	40190000.0		2014.0		0.0240104197	United Kingdom												Europe	1.0
327	Guangzhou				918.7				1.98							Other			98794145.0				56754.92										21069987.84	PKU	tCO2	2010.0						10641408.0				China		Guangzhou										East Asia	
17	Guaratinguetá	540.0	24.0	Administrative boundary of a local government			0.0204194776	0.0151203426		825170000.0	(-22.808027, -45.19422)	Estância Turística de Guaratinguetá		2015.0	A	2006 IPCC Guidelines for National Greenhouse Gas Inventories	0.69	11700000000.0		BRL     Brazilian Real	Seade	CO2; CH4; N2O		This is our first year of calculation	751.0		17030000000.0		2016.0				497634.0	CDP	tCO2-eq	2015.0	50562.0				548195.98		2012.0		0.0167788505	Brazil												Latin America & Caribbean	1.000000036483303
336	Guiyang				202.8				0.361320940841							Other			8258351.0				31050.91										1059495.97501	PKU	tCO2	2010.0						2932285.0				China		Guiyang										East Asia	
222	Gwalior															Community - GPC																	1195239.0	carbonn	tCO2-eq	2013.0								Municipality		India			Gwalior Municipal Corporation	INR	8470000000.0	2014.0	26.218290000000003	78.18283100000002	161957904.755634	1069276.0		South Asia	
196	Gävle															Community																	363052.0	carbonn	tCO2-eq	2011.0								Municipality		Sweden			Gävle Municipality				60.6749	17.1413	6124123114.82815	98524.0	2015.0	Europe	
282	Haerbin				349.6				1.56							Other			25819543.0				35025.27										10142882.88	PKU	tCO2	2010.0						6501848.0				China		Haerbin										East Asia	
333	Haikou				139.9				0.58							Other			5951444.0				34191.99										880097.8	PKU	tCO2	2010.0						1517410.0				China		Haikou										East Asia	
142	Hamburg	6.0	8.8	Administrative boundary of a local government			0.0111077293	0.0079727498		102500000000.0	(53.5510846, 9.9936818)	Free and Hanseatic City of Hamburg	1762791.0	2014.0	D	Other	0.4	8810000000.0		EUR     Euro	Statistikamt Nord	CO2		Decreased	755.0	"The emissions figures in fields C1.4 and C1.6 solely state Hamburg’s CO2 emissions (sum of Scope 1 and Scope 2 emissions) – they do not include any CH4, N2O etc. emissions. This is due to the statistical principles used in Germany for the ""Energiebilanzen der Bundesländer"" (energy balances of the German federal states) and the ""CO2-Bilanzen der Bundesländer"" (CO2 balances of the German federal states), which are based on the energy consumption within the respective statistical area. Nevertheless, these figures do reflect Hamburg’s CO2e emissions quite accurately, because CH4, N2O etc. emissions only cause less than 4% of Hamburg’s overall CO2e emissions."	22220000000.0	The most important factor responsible for the lower emissions is – despite a generally strong economic growth – a strong decline in the consumption of natural gas and petroleum products in the industry sector. However, a few industrial large-scale consumers in the field of petroleum and metal industry, whose production usually fluctuates, are responsible for a significant percentage of the consumption.	2016.0					CDP	tCO2	2013.0					17755.0		2014.0		0.0098647424	Germany	2004.0											Europe	
82	Hamilton, ON	75.0	8.2	A metropolitan area			0.1017275144	0.046860437000000005		22228328.0	(43.250021, -79.866091)	City of Hamilton	519949.0	2011.0	A	International Emissions Analysis Protocol (ICLEI)	0.51	77960000000.0		CAD     Canadian Dollar	The Conference Board of Canada – Metropolitan Outlook 1: Winter 2015	CO2; CH4		Decreased	1117.0	Waste information directly from Public Works and reports to Ministry of Environment re: energy capture of methane control at landfill, Transportation and Agriculture data from Statistics Canada Census Industrial (Steel Sector) GHG emissions data reported directly to Canada's National Pollutants Release Inventory (NPRI) Commercial, Residential, Industrial (not Steel) from local electricity and natural gas utilities	151500000000.0	In 2012 community emissions were estimated at 16,469,283 tonnes, a reduction of - 29% from 2006 emissions levels (estimated at 23,206,135 tonnes). These changes occurred due to the capturing of energy from methane emissions from the Glanbrook landfill, reduced energy demand and shifting of energy from coal as part of the Province’s actions towards the phasing out of coal in Ontario’s energy mixture sources by 2014, a reduction in steel manufacturing, and changing commuting habits and locations of employment. Translated into per capita emissions, the Hamilton community has decreased its emissions by 26% from an estimated 46 tonnes CO2e/person in 2006 to an estimated 34 tonnes CO2e/person in 2011 while population has increased 3%.	2016.0	5234631.067347227	5428501.510665631	5622371.953984036	6304593.0	CDP	tCO2-eq	2012.0	10164690.0	15399321.067347227	15593191.51066563	15787061.953984035	16469283.0		2014.0		0.0734936045	Canada												North America	1.0
264	Handan				148.1				0.754109514077							Other			5444810.0				36975.23										3005643.73272	PKU	tCO2	2010.0						3985686.0				China		Handan										East Asia	
296	Hangzhou				672.4				3.188562052							Other			47407788.0				49936.46										20319589.9607	PKU	tCO2	2010.0						6372650.0				China		Hangzhou										East Asia	
223	Hat Yai															Community - GPC																	477723.0	carbonn	tCO2-eq	2013.0								Municipality		Thailand			Hat Yai City Municipality	THB	144209.0	2014.0	7.016210000000001	100.47288	5179.0625430476	159614.0	2016.0	Southeast Asia	
85	Hayward	32.0	11.8	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(37.6689, -122.0808)	City of Hayward	158985.0	2015.0	A	International Emissions Analysis Protocol (ICLEI)	0.06	42870000000.0				CO2; CH4; N2O		Decreased	117.0		766200000000.0	Comparing 2010 to 2015, energy emissions (natural gas and grid-supplied electricity) have decreased by 7%.	2016.0	703089.756141584	743077.6615927491	783065.5670439141	861854.0	CDP	tCO2-eq	2015.0	186850.0	889939.756141584	929927.6615927491	969915.5670439141	1048704.0				0.0356646952	USA												North America	1.0
298	Hefei				393.7				1.32							Other			19204471.0				40652.46										5131200.36	PKU	tCO2	2010.0						3887273.0				China		Hefei										East Asia	
285	Hegang				64.7				0.378047799552							Other			1623340.0				30882.52										306548.75336599996	PKU	tCO2	2010.0						810873.0				China		Hegang										East Asia	
136	Heidelberg	114.0	13.2	Administrative boundary of a local government			0.0111077293	0.0079727498		7635000000.0	(49.398752, 8.672434)	Stadt Heidelberg	144948.0	2014.0	D	Other	0.4	8810000000.0		EUR     Euro		CO2		Decreased	109.0	Institut für Energie- und Umweltforschung Heidelberg GmbH	22220000000.0	Emissions decreased from 1987 until 2009. Emissions increased from 2009 until 2011	2016.0					CDP	tCO2	2011.0					879900.0		2011.0		0.0098647424	Germany	2004.0											Europe	
287	Heilongjiang				61.8				0.363462839327							Other			1358483.0				16261.46										350520.291081	PKU	tCO2	2010.0						964391.0				China		Yichun										East Asia	
72	Helsinki		5.9	Administrative boundary of a local government			0.0541853882	0.0528714133			(60.1733244, 24.9410248)	City of Helsinki	612664.0	2014.0	A	Other	0.0	0.0				CO2; CH4; N2O		Decreased	214.0	Regionally developed methodology equivalent to GPC (and IPCC guidelines)	1.0	Energy efficiency has improved in buildings and vehicles. National grid electricity produces less CO2 emissions than before. Traffic fuel mix includes more CO2-neutral fuels. Long term: Less coal in district heating, waste management has improved, industry has decreased.	2016.0	1166677.7730673854	1177948.1247212559	1189218.4763751265	2096206.0	CDP	tCO2-eq	2014.0	2789724.0	3956401.7730673854	3967672.124721256	3978942.4763751263	4885930.0				0.0541853882	Finland												Europe	1.0
326	Hengyang				94.4				0.32394807421							Other			3885300.0				34931.28										1030434.7671200001	PKU	tCO2	2010.0						3180864.0				China		Hengyang										East Asia	
106	Hermosa Beach, CA	8.0	18.0	Administrative boundary of a local government			0.0367294791	0.017698981699999998			(33.8622, -118.3995)	City of Hermosa Beach, CA	19750.0	2015.0	A	International Emissions Analysis Protocol (ICLEI)	0.06	42870000000.0		USD     US Dollar		CO2; CH4; N2O		Decreased	2.3		766200000000.0		2016.0	103495.4235544	108462.94333715	113430.46311989999	123218.0	CDP	tCO2-eq	2012.0	3334.0	106888.4235544	111855.94333715	116823.46311989999	126611.0		2015.0		0.0356646952	USA												North America	0.9995340057340988
128	Hiroshima		16.6	Administrative boundary of a local government			0.0028872234	0.0025182088		4874634000000.0	(34.385203, 132.455293)	City of Hiroshima	1191030.0	2015.0	D	Other	0.0	0.0		JPY     Japanese yen	市民経済計算	CO2; CH4; N2O; HFCs; PFCs; SF6			907.0	環境省のマニュアル	1.0		2016.0					CDP	tCO2-eq	2014.0		8579151.448789144	8585304.553215675	8591457.657642208	8675437.0		2012.0		0.0028872234	Japan												East Asia	
