	city name	City Name (CDP)	country	region (CDP)	Boundary (CDP)	Reporting Year (CDP)	Measurement year only (CDP)	Current Population (CDP)	Current Population Year (CDP)	scope fraction (CDP)	Total City-wide Emissions (metric ton CO2e) (CDP)	Total Scope 1 Emissions (metric ton CO2e) (CDP)	Total Scope 2 Emissions (metric ton CO2e) (CDP)	CDP2016 data edited (CDP)	Emissions Quality Flag (CDP)	Gases included (CDP)	TOT lower bound [tCO2] (CDP)	TOT upper bound [tCO2] (CDP)	TOT mean [tCO2] (CDP)	S1 lower bound [tCO2] (CDP)	S1 upper bound [tCO2] (CDP)	S1 mean [tCO2] (CDP)	Primary Methodology (CDP)	Methodology Details (CDP)	Increase/Decrease from last year (CDP)	Reason for increase/decrease in emissions (CDP)	Average annual temperature (in Celsius) (CDP)	Land area (in square km) (CDP)	Average altitude (m) (CDP)	CH4_waste/person	CH4_(waste+natgas)/person	corrected CH4_(waste+natgas)/person	Production (m3)	Exports (m3)	Export/Production	data from CIA World Fact Book for 2014	City Location (CDP)	City GDP (CDP)	GDP Currency (CDP)	Year of GDP (CDP)	GDP Source (CDP)
45	Somerville, MA	City of Somerville, MA	USA	North America	Administrative boundary of a local government	2016.0	2014.0	78900.0	2014.0	1.0	586308.0	461798.0	124510.0		A	CO2; CH4; N2O	507517.55536416	547207.4096283601	527362.48249626	383007.55536416	422697.40962836	402852.48249625997	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		This is our first year of calculation			10.3	4.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(42.393449, -71.082647)				
46	Richmond, VA	City of Richmond, VA	USA	North America	Administrative boundary of a local government	2016.0	2013.0	217853.0	2014.0	1.0	3152498.0	1470127.0	1682371.0		A	CO2							Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Collected data over a 1 year period with the help of many City departments as well as private utility company.	Decreased	increases in efficiency, increased usage of natural gas	15.0	162.0	49.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(37.540725, -77.436048)	70491000000.0		2014.0	http://www.bea.gov/itable/iTable.cfm?ReqID=70&step=1#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=40060&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels (this is metro area and not city specific)
47	Pittsburgh	City of Pittsburgh	USA	North America	Administrative boundary of a local government	2016.0	2013.0	305704.0	2016.0	1.0	4803046.0	2073556.0	2729490.0		A	CO2; CH4; N2O	4497766.480520218	4651547.81395473	4574657.147237474	1768276.4805202177	1922057.8139547296	1845167.1472374736	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		Decreased	There has been significant variation in the way that data was collected an reported, and Pittsburgh had about 30,000 fewer residents in 2013 compared to 2003. Recalculating 2003 and 2008 inventories to compare to the 2013 inventory shows that emissions have decreased by about 4% since the 2008 inventory, but have still increased by 10% since 2003. Several exogenous factors reduced emissions - such as lower electricity emission factors due to a cleaner electric grid, and better fuel efficiency and lower tailpipe emission factors for cleaner vehicles. However, Pittsburgh did see reductions in the tonnage of solid waste sent to landfill and a reduction in vehicle miles traveled. The industrial sector used less electricity in 2013 than in 2003, and less natural gas in 2013 than in 2008. The commercial sector used less electricity in 2013 than in 2008, but used significantly more natural gas. The residential sector increased electricity use and substantially increased natural gas use. The increase in natural gas is likely due to improved data quality, but seems to also correlate to the rise of hydraulic fracturing in the region. Natural gas emissions increased almost three-fold since 2003.	11.1	151.0	293.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(40.4406248, -79.9958864)	135662.0	USD     US Dollar	2014.0	http://www.pittsburghtoday.org/view_GDP2.html
48	Piedmont, CA	City of Piedmont, CA	USA	North America	Other:	2016.0	2011.0	11082.0	2013.0	1.0	43442.0	17876.0	25566.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	32375.3877382208	37950.0767744168	35162.7322563188	6809.387738220801	12384.0767744168	9596.7322563188	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)		Decreased	They have decreased due to a decrease in electricity and gas usage usage in the residential sector as well an increased renewable-generated portfolio of electricity sources, specifically hydropower.	15.0	4.3	101.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(37.8244, -122.2316)	360400000000.0	USD     US Dollar	2013.0	San Francisco/Oakland/Hayward Metropolitan Area GDP: http://www.usmayors.org/metroeconomies/2013/201311-charts.pdf
49	Okayama	City of Okayama	Japan	East Asia	Administrative boundary of a local government	2016.0	2013.0	705917.0	2015.0	1.0	6916000.0	114000.0	6802000.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	6858932.077735982	6866225.900758851	6862578.989247417	56932.0777359816	64225.900758851196	60578.98924741639	Other				16.1	790.0	55.0	0.0025182088	0.0028872234	0.0028872234	1	0	0.0		(34.655146, 133.919502)	2066421.0	JPY     Japanese yen	2015.0	岡山県統計分析課
50	Minneapolis	City of Minneapolis	USA	North America	Administrative boundary of a local government	2016.0	2014.0	407207.0	2014.0	1.0	4794708.0	2890572.0	1904136.0		A	CO2; CH4; N2O	4388066.420927421	4592907.821248867	4490487.121088143	2483930.4209274207	2688771.8212488666	2586351.1210881434	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	"A note regarding how double counting is avoided for stationary sources: - natural gas consumption at stationary sources is removed from natural gas total and the associated emissions are part of the electricity sector.  
- electricity production due to waste incineration is removed from the electricity total and the associated emissions are part of solid waste sector."	Increased	Heating degree days increased 5.7% over the 2013 inventory, leading to a 8.9% increase in natural gas use.  The natural gas increase was the major contributor to the overall rise.  Electricity use fell 1.2%, while other categories changed less than 1% or total contribution to the inventory was negligible and of low confidence (solid waste).	7.9	139.8	264.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(44.983334, -93.26667)	235700000000.0	USD     US Dollar	2014.0	http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=33460&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels
51	University City, MO	University City, MO	USA	North America	Administrative boundary of a local government	2016.0	2005.0	35371.0	2010.0	1.0	501147.0	266265.0	234882.0		A	CO2; CH4; N2O	465825.11385026237	483618.1409121004	474721.62738118134	230943.1138502624	248736.1409121004	239839.6273811814	2006 IPCC Guidelines for National Greenhouse Gas Inventories	Inventory calculated using CACP software using IPCC 1996 Guidelines and US Voluntary Reporting Guidelines. (1996 guidelines not available as an option)	This is our first year of calculation		13.9	15.3	160.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(38.6682, -90.3325)				
52	Los Altos Hills	Los Altos Hills	USA	North America	Administrative boundary of a local government	2016.0	2015.0	8334.0	2013.0	1.0	57243.0	47552.0	9691.0		A	CO2							U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	We also participated in the GPC community inventory pilot in 2015. We were the only city from the US in their initial pilot.	Decreased	From 2014 to 2015 our emissions decreased from 78,678 MT to 77,583 MT. This was primarily due to decreased VMT (data obtained from state agencies) and reductions in Heating Fuel use due to a milder winter.	14.3	21.8	89.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(37.3797, -122.1375)				
53	Las Vegas	City of Las Vegas	USA	North America	A metropolitan area	2016.0	2014.0	621970.0	2016.0	1.0	29657130.0	11002925.0	18654205.0		A	CO2							Other	Community data was collected from local utilities (NV Energy and Southwest Gas), the Nevada Department of Transportation's Annual VMT Report for Clark County, the Regional Transportation Commission of Southern Nevada, and the Nevada Department of Environmental Protection. These data points were input into ICLEI's CACP software to obtain aggregated community emission data for Southern Nevada.	Increased	The population of Las Vegas has stayed fairly constant in the last 5 years.  Population dropped slightly after the recession, but has increased past 2009 levels.  Community emissions targets are not as rigidly defined as the municipality's, so reductions in GHG emissions are not as pronounced.	21.0	136.0	664.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(36.1699412, -115.1398296)	94521.0	USD     US Dollar	2014.0	http://cber.unlv.edu/CCEconData.html
54	Lakewood	City of Lakewood	USA	North America	Administrative boundary of a local government	2016.0	2007.0	149643.0	2014.0	1.0	1727860.0	553900.0	1173960.0		A	CO2; CH4; N2O	1578424.7844532193	1653701.1958810731	1616062.990167146	404464.7844532192	479741.1958810732	442102.9901671462	Other	Hybrid Demand-Center Life Cycle Assessment Methodology developed by Ramaswami et. al.: The City of Lakewood GHG Emissions Inventory assesses 2007 GHG emissions using a hybrid demand-center life cycle assessment methodology developed by Ramaswami et. al. The method uses the standard Local Government Operations Protocol (LGOP) released by ICLEI\-Local Governments for Sustainability to report GHG emissions from in-boundary activities. Out-of-boundary activities critical to a community such as the provision of food, water, fuels and dwellings are added to the in-boundary activities to yield an expanded inventory that becomes a more comprehensive “carbon emissions footprint”. In 2015, the City of Lakewood worked with a GHG emissions analyst and updated the 2007 report figures based on more accurate electricity and surface transportation emission factors.	Decreased	We only have a single GHG inventory; however our projections indicate a decrease based on the following reasoning: While the City of Lakewood’s population and material sector emission factors have increased annually, the emission factors for electricity and transportation have decreased annually as a result of the State of Colorado’s Renewable Portfolio Standard and improvements to vehicle fuel efficiency required by the Federal CAFE standards. (See attachment: BAU determination)	10.8	114.0	1638.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(39.7047, -105.0814)				
55	District of Columbia	District of Columbia	USA	North America	Administrative boundary of a local government	2016.0	2013.0	672228.0	2015.0	1.0	7386407.0	3132786.0	4253621.0		A	CO2; CH4; N2O	6715112.411702643	7053269.970033627	6884191.190868136	2461491.411702643	2799648.970033627	2630570.190868135	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Emissions reported here are based on the GPC. Previous inventories, and the District's baseline were calculated using the U.S. community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	Increased	Emissions increased 2.3% from 2012 to 2013 due primarily to a colder winter and resulting increase in energy consumption for heating purposes. 2013 emissions have been updated from what was previously reported in order to reflect updated emission factors for grid electricity now available from the U.S. EPA. (EGrid 2012).	14.7	158.0		0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(38.9071923, -77.0368707)	116378000000.0	USD     US Dollar	2014.0	U.S. Bureau of Economic Analysis
56	Cleveland	City of Cleveland	USA	North America	Administrative boundary of a local government	2016.0	2010.0	396815.0	2010.0	1.0	11889595.0	7750563.0	4139032.0		A	CO2; CH4; N2O	11493330.991277937	11692944.800148007	11593137.895712972	7354298.991277936	7553912.800148006	7454105.895712971	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	This inventory was assembled through the collection and analysis of data with City of Cleveland staff as well as other city stakeholders such as utilities, regional coordinating agencies, local organizations and large emitters. Associated GHG emissions for all activities were calculated using an approach consistent with the International Council for Local Environmental Initiatives (ICLEI) - U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI) as the main guiding document, with methodologies from The Climate Registry (TCR), the World Resources Institute (WRI), the Intergovernmental Panel on Climate Change (IPCC), and the U.S. Environmental Protection Agency (EPA) also referenced. Tools - Inventory Management System: Most of the calculations used to develop this inventory were carried out in an Information Management System (IMS), a Microsoft Excel-based spreadsheet that collects into one tool the original data, methodology applied, emission factors selected and a summary of GHG emission results. The IMS also provides charting, forecasting and benchmarking capabilities	This is our first year of calculation	2010 Baseline Inventory that’s being reported is our 1st comprehensive GHG inventory. The GHG inventory will likely be updated in 2016, using 2015 data.	10.4	201.0	199.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(41.49932, -81.6943605)				
57	Knoxville	City of Knoxville	USA	North America	Administrative boundary of a local government	2016.0	2012.0	184281.0	2014.0	1.0	3999874.0	2061435.0	1938439.0		A	CO2; CH4; N2O	3815848.8805077663	3908549.5906935846	3862199.2356006755	1877409.8805077665	1970110.5906935844	1923760.2356006755	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	ICLEI Clean Air and Climate Protection	Decreased	Energy consumption in 2012 fell in the residential and commercial sectors by approximately 2% and 13% respectively, relative to 2005. Energy use for transportation decreased over 3.5%, largely due to improvements in the average fuel economy of vehicles. In addition to energy savings, changes to the Tennessee Valley Authority’s (TVA) electricity production portfolio also contributed to emissions reductions, as multiple coal-fired power plants were retired, retrofitted, or replaced by natural gas, nuclear, and renewable sources of energy in recent years.	15.2	255.2	269.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(35.9606, -83.9207)	37487000000.0	USD     US Dollar	2014.0	US Department of Commerce Bureau of Economic Analysis; http://www.bea.gov/iTable/iTable.cfm?reqid=70&step=1&isuri=1&acrdn=3#reqid=70&step=10&isuri=1&7003=200&7035=-1&7004=naics&7005=-1&7006=28940&7036=-1&7001=2200&7002=2&7090=70&7007=2014&7093=levels
58	Boulder	City of Boulder	USA	North America	Administrative boundary of a local government	2016.0	2012.0	104810.0	2015.0	1.0	1721996.0	741287.0	980709.0		A	CO2; CH4; N2O	1617331.532290464	1670055.152384644	1643693.3423375539	636622.532290464	689346.152384644	662984.3423375541	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)	This protocol was adopted for the 2012 inventory. Previous inventories followed a different methodology making an apples to apples comparison difficult. It is the city's intention to follow the GPC, in addition to the U.S. Community Protocol, for the 2015 inventory, expected completion by December 2016.	Other	Changed to US Community Protocol for 2012 inventory. Only 2005 was backcast using the new protocol. Technically, we increased a half of a percent (0.5%) from our 2005 baseline. However, not only was the baseline inventory backcast but data sources changed between the two inventories as well. The error margin straddles the 'no change' parameters.	10.9	67.0	1655.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(40.0274, -105.2519)	22354000000.0	USD     US Dollar	2014.0	Bureau of Economic Analysis, Dept. of Commerce
59	Boston	City of Boston	USA	North America	Administrative boundary of a local government	2016.0	2014.0	646000.0	2013.0	1.0	6066182.0	3603270.0	2462912.0		A	CO2; CH4; N2O	5421078.993222401	5746042.8190104	5583560.9061164	2958166.9932224	3283130.8190104	3120648.9061164	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. A 10% ethanol content for gasoline is also accounted for.  Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.	Decreased	Overall GHGs decreased by about 2,000 metric tonnes, or 0.03%. This could be in part because there was only a small increase in heating degree days (HDD) from 2013 to 2014 (6.5%), and natural gas used declined more than 4.5%. Meanwhile the electricity emissions factor fell by a few points, while electricity use increased only 1.2%.	10.0	124.0	2.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(42.3584308, -71.0597732)	103067100436.0	USD     US Dollar	2015.0	Boston Redevelopment Authority analysis using data from the Bureau of Economic Analysis and the National Bureau of Economic Research
60	Atlanta	City of Atlanta	USA	North America	Administrative boundary of a local government	2016.0	2014.0	443775.0	2013.0	1.0	9024235.0	3548215.0	5476020.0		A	CO2; CH4; N2O	8581076.19685336	8804312.76309031	8692694.479971835	3105056.19685336	3328292.76309031	3216674.4799718354	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	The Atlanta Mayor’s Office of Sustainability uses the Global Protocol for Community-Scale Greenhouse Gas Emission Inventories (GPC) as the framework for its annual citywide greenhouse gas (GHG) reports, which is consistent with international standards. The GPC level selected for the 2013 reports was BASIC. This level will serve as a baseline for more comprehensive reports in the future. This report included emissions from electricity and natural gas consumption, vehicles, city-owned landfills, municipal solid waste (MSW) generated inside the city but sent to landfills outside city limits, and emissions from wastewater treatment plants (WWTP), the Metropolitan Atlanta Rapid Transit Authority (MARTA), and the Hartsfield-Jackson Atlanta International Airport (excluding aviation fuel emissions). All these emitting sources are in compliance with the GPC protocol.	Increased	Factors for the increase in emissions are: a growth in the construction market, the construction of a new international terminal at the airport, and cheap prices of oil	16.9	343.0	272.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(33.7489954, -84.3879824)	260000000000.0	USD     US Dollar	2013.0	http://www.atlantaga.gov/modules/showdocument.aspx?documentid=12107
61	Makati	City Government of Makati	Philippines	Southeast Asia	Administrative boundary of a local government	2016.0	2011.0	529039.0	2010.0	1.0	1660370.0	462586.0	1197784.0		A	CO2; CH4; N2O	1535908.0131455697	1546404.6516087756	1541156.3323771725	338124.0131455696	348620.6516087756	343372.3323771726	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Guidance from the following sources was also used: GHG Management in Local Governments: A Guide developed by the Greenhouse Gas Management Institute (GHGMI) with funding support from USAID, International Local Government Greenhouse Gas Emissions Analysis Protocol (IEAP) developed by ICLEI, and the newly published Global Protocol for Community-Scale Greenhouse Gas Emissions* from WRI, ICLEI and the C40 Climate Leadership Gourp were also used to supplement the GHG Protocol. *GPC Pilot version 1.0 (May 2012) was re;eased as draft and opened for comments while the GHG inventory was taking place in Makati. The approach taken to complete the inventory is mostly similar to the one recommended in the Protocol, but there are some differences in content and terminology (e.f. defining inventory boundaries in terms of 'geographic' and 'geographic+' instead of 'basic' and 'basic+'.	Increased	Scope 1 (Stationary Energy and Transport) and Scope 3 (Solid Waste) increased due to the following reasons: a. During daytime, the City's population increases to more than 4 million as people from the Metropolitan Manila and other provinces go to the city to work, shop, do business, or simply dine and be entertained. b. With the increasing population, waste generation also increases. c. Increased construction and development projects are also observed leading to increased in the demand for energy. d. More than 800,000 vehicles traverses the City each day as the City host of three (3) Metro Rail Transit (MRT) and Philippine National Railways (PNR) stations and gateway of four (4) major roads.		27.4		0.007693555699999999	0.0084021612	0.0084021612	1	0	0.0		(14.559004, 121.081632)		PHP     Philippine Peso	2015.0	Budget of Expenditures and Sources of Financing NEDA
62	Portland, OR	City of Portland, OR	USA	North America	Administrative boundary of a local government	2016.0	2014.0	619360.0	2014.0	1.0	6974544.0	4610317.0	2364227.0		A	CO2; CH4; N2O	6356044.002665984	6667606.843440064	6511825.423053024	3991817.002665984	4303379.843440064	4147598.4230530243	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		Decreased		12.5	376.0	77.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(45.52, -122.6819)	163692000000.0	USD     US Dollar	2013.0	2013 GDP & personal income. U.S. Department of Commerce Bureau of Economic Analysis
63	Amman	Greater Amman Municipality	Jordan	North Africa, Middle East, West Asia	A metropolitan area	2016.0	2014.0	3604459.0	2015.0	1.0	7215407.0	3322603.0	3892804.0		A	CO2; CH4; N2O	6160519.938966074	6637624.625964311	6399072.2824651925	2267715.938966074	2744820.625964311	2506268.2824651925	2006 IPCC Guidelines for National Greenhouse Gas Inventories		This is our first year of calculation		17.0	800.0	900.0	0.005724877099999999	0.0104522032	0.0104522032	1	0	0.0		(31.945367, 35.928372)	10697000000.0	JOD     Jordanian Dinar	2014.0	Ministry of Energy and Mineral Resources
64	Austin	City of Austin	USA	North America	Combination of administrative divisions	2016.0	2013.0	888204.0	2015.0	1.0	13700000.0	6439000.0	7261000.0		A	CO2; CH4; N2O; PFCs	12813029.301808218	13259831.422427729	13036430.362117972	5552029.301808218	5998831.42242773	5775430.362117974	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		Decreased	Renewable energy in our electricity generation, energy efficiency, and fuel efficiency of the city wide vehicle fleet	20.0	704.0	149.0	0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(30.2672, -97.7431)				
65	Yokohama	City of Yokohama	Japan	East Asia	Administrative boundary of a local government	2016.0	2013.0	3719589.0	2015.0	1.0	21950000.0	12572000.0	9378000.0		A	CO2; CH4; N2O; PFCs; SF6	21649300.036822885	21687732.35093887	21668516.19388088	12271300.036822887	12309732.35093887	12290516.193880878	Other	Yokohama determines levels of greenhouse gas (GHG) emissions, promotes their reduction, and manages the progress of reduction on the basis of the Yokohama City Action Plan for Global Warming Countermeasures (district measure revised edition; 2014), which was prepared in accordance with the provisions of Article 20, Item 3, Paragraph 3 of the Act on Promotion of Global Warming Countermeasures.  It measures GHG emissions in accordance with “the manual for formulation of action plans by local public entities for global warming countermeasures (regional measure edition, 2014)”, which was formulated by the Ministry of the Environment.	Increased	after the Great East Japan Earthquake, the portion of thermal plant has been increased, emission coefficients in the power sector has been increased.	16.0	437.0	39.0	0.0025182088	0.0028872234	0.0028872234	1	0	0.0		(35.4437078, 139.6380256)	104000000000.0	USD     US Dollar	2012.0	The calculation of citizen economy in Yokohama, 2012, (issued in 2015)
66	Toronto	City of Toronto	Canada	North America	Administrative boundary of a local government	2016.0	2013.0	2753100.0	2011.0	1.0	18320966.0	16151019.0	2169947.0		A	CO2							Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Currently, Toronto’s emissions calculations focus on our major emissions sources – energy (heating and cooling), transportation (mobile sources), and waste. a. Energy Heating and Cooling: The City of Toronto’s emissions factors for electricity and natural gas are updated annually and based on the National Inventory Reports (Environment Canada); however, the City of Toronto adds a 10% transmission loss to the NIR figure. Additionally, data is acquired from Toronto Hydro and Enbridge Gas on the electricity and natural gas consumption of the entire city, including residential, industrial, commercial, institutional etc...b. Transportation: Data are collected and standardized only for car and truck traffic through the City using four main sources: -truck traffic counts of over 2,000 intersections throughout the city from the City of Toronto’s Transportation Services Division -accumulated traffic count data from years 1987 to 2009 from the City of Toronto’s Transportation Services Division --a Canadian standard developed by a Canadian consultant. The above traffic data is then used to calculate “vehicle kilometers traveled” (VKT) and emissions factors for vehicle types are applied to calculate total emissions from mobile sources. c. Waste: Tonnages of waste and approximate waste compositions are used in mass balance equations in the calculation of emissions from landfills.	Decreased	a.  Eliminating the use of coal in the electricity mix which facilitated substantive per capita reductions in energy consumption b.  Significantly reducing the amount of waste going to landfill, and therefore, the amount of methane gas generated. Our transportation emissions have remained the same because we have not been able to update this data for the year 2012 and so we used the same data from 2011 for our inventory.	8.0	634.0	77.0	0.046860437000000005	0.1017275144	0.0734936045	151500000000	77960000000	0.51		(43.653226, -79.3831843)	157300000000000.0	CAD     Canadian Dollar	2013.0	http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=41e067b42d853410VgnVCM10000071d60f89RCRD&vgnextchannel=57a12cc817453410VgnVCM10000071d60f89RCRD
67	Auckland	Auckland Council	New Zealand	Oceania	Administrative boundary of a local government	2016.0	2013.0	1569900.0	2015.0	1.0	10472155.0	9133523.0	1338632.0		A	CO2; CH4; N2O	9440705.11753756	9888679.16707708	9664692.142307319	8102073.11753756	8550047.16707708	8326060.14230732	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Version 1 (published in 2014)	Increased	There was a 0.9 per cent increase in emissions between 2009 and 2013. The emissions for 2009 were 10,857 ktCO2e (our last emissions inventory). The emissions for 2013 were 10,955 ktCO2e (our most recent emissions inventory). The main driver of the increase was the increased emissions from the industrial processes and product use sector. Over the same timeframe, the population increased by 5.0 per cent and the GDP increased by 8.4 per cent. Subsequently, the emissions intensity by population decreased from 7.6 to 7.3 tCO2e per capita. Similarly the emissions intensity by GDP decreased from 160 to 149 tCO2e per million $NZ (2009/2010 price). Overall, the emissions intensity has reduced and there is evidence that emissions are decoupling from population and economic growth.	15.3	4894.0	79.0	0.013273726100000001	0.0234648677	0.0234648677	1	0	0.0		(-36.815328, 174.741788)	81186000.0	NZD     New Zealand Dollar	2014.0	Statistics New Zealand
68	Durham	City of Durham	USA	North America	Administrative boundary of a local government	2016.0	2015.0	250815.0	2015.0	1.0	4530469.0	1973070.0	2557399.0		A	CO2; CH4; N2O	4280002.265255536	4406172.237337606	4343087.2512965705	1722603.265255536	1848773.237337606	1785688.251296571	U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI)		Decreased	weather, changed the way we were calculating	15.0	277.0		0.017698981699999998	0.036729479100000004	0.0356646952	766200000000	42870000000	0.06		(35.994, -78.8986)				
69	Turku	City of Turku	Finland	Europe	Administrative boundary of a local government	2016.0	2013.0	186000.0	2015.0	1.0	1107500.0	421200.0	686300.0		A	CO2; CH4; N2O	825302.4982544	832145.6795336	828724.088894	139002.49825439998	145845.6795336	142424.088894	2006 IPCC Guidelines for National Greenhouse Gas Inventories	For a local authority level the IPCC guidelines have been applied according to: European Union/Covenant of Mayors, 2010. How to develop a Sustainable Energy Action Plan - Guidebook. Part II, Baseline emissions inventory. The sectors included are: heating, electricity consumption (including industry), fuels for industry and machinery, road traffic, other traffic, agriculture and waste management.	Stayed the same	Most sectors decreased, but the emission factor for electricity increased in Finland.	5.5	246.0	10.0	0.0528714133	0.054185388200000004	0.054185388200000004	1	0	0.0		(60.4518126, 22.2666303)	8700000000.0	USD     US Dollar	2012.0	Statistics Finland
70	Seoul	Seoul Metropolitan Government	South Korea	East Asia	Administrative boundary of a local government	2016.0	2013.0	10297138.0	2015.0	1.0	47612664.0	25082520.0	22530144.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6	43081367.489917025	44460579.89825682	43770973.694086924	20551223.48991702	21930435.898256823	21240829.694086924	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Plus, For Local Government Greenhouse Gas Inventories.,  Korea Environment Corporation, 2010,)			12.1	605.0	85.0	0.0109325943	0.0157162134	0.0157162134	1	0	0.0		(37.566535, 126.9779692)	327602162000000.0	KRW     South Korean Won	2014.0	Korean Statistical Information Service
71	Curitiba	Municipality of Curitiba	Brazil	Latin America & Caribbean	Administrative boundary of a local government	2016.0	2013.0	1751907.0	2010.0	1.0	3036279.0	2686488.0	349791.0		A	CO2; CH4; N2O; HFCs; PFCs; SF6; NF3	2213219.401998702	2294574.8467865307	2253897.1243926166	1863428.401998702	1944783.8467865305	1904106.124392616	Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)	Developed in partnership with ICLEI/URBAN LEDS Project	Increased	The main difference on the increase of  GEE emissions is on the energy sector not by an increase of consumption but because of an increse on emission factors due to the use o thermoelectric plants. In 2012 the annual national average emission factor was 0,0653 T/CO 2e by MWh produced, while in 2013 the factor increased by 30% to 0,0963 T/CO2e by MWh produced .	18.0	434.0	935.0	0.0151203426	0.0204194776	0.0167788505	17030000000	11700000000	0.69		(-25.431063, -49.264693)	79400000000.0	BRL     Brazilian Real	2013.0	http://www.agencia.curitiba.pr.gov.br/publico/conteudo.aspx?codigo=39
