Account number,Organization,City,Country,Region,C40,Access,Reporting year,Accounting year,Boundary,Protocol,Gases included,Total emissions (metric tonnes CO2e),Scopes Included ,Total Scope 1 Emissions (metric tonnes CO2e),Total Scope 2 Emissions (metric tonnes CO2e),Comment,Increase/Decrease from last year,Reason for increase/decrease in emissions,Population,Population year,City Location,Country Location
58485,Abington Township,Abington ,USA,North America,,Public,2017,2010-01-01 - 2010-12-31,Other: Municipal boundary,Other: Delaware Valley Regional Planning Commission,CO2; PFCs; CH4; SF6; N2O; HFCs,615224,Total Scope 1 and Scope 2,193345,421879,"Although not a registered protocol, the DVRPC GHG Inventory is a thorough tool and was accepted during Abington's Township's STAR Communities™ verification for a Greenhouse Gas Emissions Inventory.",Decreased,"Energy efficiency by residents, businesses, industries, municipal government, and institutions such as hospitals and four public schools with geothermal HVAC, and a cleaner electricity generation mix contributed to this decrease.",55310,2010,"(40.12408, -75.119511)","(37.09024, -95.712891)"
59996,Batangas City,Batangas,Philippines,South Asia and Oceania,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other: IPCC,CO2; CH4; N2O,657636,Total Scope 1 and Scope 2,524577,133059,N/A,Increased,A 25% increase in the GHG emissions from 2010 were identified. Increase in economic activities and population was the main reason of emissions change.,354170,2016,"(13.7565, 121.0583)","(12.879721, 121.774017)"
54078,City of Hayward,Hayward,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,1103976.576,Total Scope 1 and Scope 2,915123.58,188853,"This inventory, including its methodology and calculations has been reviewed for accuracy. Some records underwent multiple reviews and recalculations. However, please note that for a couple records the most up-to-date and accurate data was not available.",Stayed the same,"Comparing 2010 to 2015, overall community-wide emissions increased slightly (<1%). However, some differing methodology and the unavailability of the most accurate and up to date data influenced this trend.",158985,2016,"(37.6689, -122.0808)","(37.09024, -95.712891)"
49787,City of Benicia,Benicia,USA,North America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2; PFCs; CH4; SF6; N2O; HFCs,688706,Total Scope 1 and Scope 2,,,A third party data anomaly in the 2010 inventory may result in significant revisions that show improved progress toward goals.,Increased,"In 2010, community-wide emissions with large industrial emitters had increased from 2005 by 24% while community-wide emissions without large industrial emitters increased by 41%.  There was a 5.6% increase in emissions (2000-2005, with large emitters).   When the baseline inventory was completed, the team predicted that by 2010, emissions (w/ large industrial emitters) would increase 9% from 2005 to 4.6 million metric tons.  If large emitters were still included, then the increase between 2005 and 2010 was only a 24% increase, 15% more than what was originally predicted.  However, for 2010, it was decided to exclude large emitters.  This means that increases in all other sectors have a greater impact on total emissions, i.e. the increase in transportation emissions has a much greater impact on overall emissions levels.   The roughly 35% increase between 2005 and 2010 could be due to a number of things including changes in reporting protocols, e.g. permitting requirements changed or the non-recession years outweighed the recession years.  It could also be that Benicia was not as hard hit by the recession as other communities and therefore, emissions didn't decrease. Again, educated guesses have been made as to what caused the increase.    Please note that vehicle miles travelled (VMT) grew between 2000 and 2010 by 62%, while emissions increased 95%.  The % of total emissions from transportation is within the Bay Area average. The Metropolitan Transportation Commission (MTC) calculates VMT using a proprietary software model. MTC inputs traffic counts, vehicle speeds, vehicle make and model, and fuel data into its software. In 2010, per the change in the modeling software, Benicia is now responsible for 50% of the trips that start elsewhere but end in Benicia and trips that start in Benicia but end elsewhere. This is calculated based on the number of people that exit or enter the highway in Benicia. Pass through VMT is not attributed to Benicia. Then, emissions are calculated by inputting VMT into the CACP software, which generates a GHG equivalent (MTCO2e). The increase in off road emissions is due to construction permit projections for buildings, which may have never been built. However, estimating off road emissions using construction permit data is the recommended calculation method per ICLEI’s protocol and guidance.",27450,2014,"(38.049365, -122.1585777)","(37.09024, -95.712891)"
54402,City of Lahti,Lahti,Finland,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,717200,Total Scope 1 and Scope 2,717200,157607,"Energy production CHP, process power, wastes and waste water calculations quite high level of confidence. Traffic calculation is based on national LIISA model, not actual emissions. Separate heating, industrial machinery, agriculture and its energy use are not so high level of confidence, because information harder to find .and emission calculatios are based on statistics. Calculations are made with national tool called KASVENER (2007), but with updated GWP factors.",Decreased,Decreased from baseline year 1990. New waste gasification plant 2012 and collecting separate energy waste from citizens. Effective waste water treatment with collecting biogas before composting the sludge. Effective and energy-efficient waste and biowaste collection and treatment (new biogas plant 2014). Better energy effiency in buildings.,119452,2016,"(60.9833, 25.65)","(61.92411, 25.748151)"
59545,"City of Charlottesville, VA","Charlottesville, VA",USA,North America,,Public,2017,2011-01-01 - 2011-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,720870,Total Scope 1 and Scope 2,720870,,Electricity and Natural Gas consumption are measured values however transportation figures are based on Virginia DOT's Vehicle Miles Traveled studies and estimates which may not be entirely accurate.,Increased,"There has been a 7% increase in community-wide emissions between 2000 (baseline) and 2011 (latest inventory year).  The largest increase was in the commercial/institutional sector (a reflection of significant expansion by the University of Virginia during that period), followed by the residential section (a reflection of population growth).",48210,2010,"(38.0293, -78.4767)","(37.09024, -95.712891)"
31182,City of San Francisco,San Francisco,USA,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Other: Geopolitical Boundary - physical areas over which local government has jurisdictional control,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1266761,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3765407,1076061,,Other: Methodology Change,"Residential, Commercial/Industrial, Transportation (private, commercial, public/mass transit), Waste as well as Municipal emissions continues to decrease due to the City of San Francisco's progressive climate policies and commitment to implementing effective emission reduction strategies. A total reduction of approximately 6% in community-wide emissions was observed compared to the last verified inventory carried out during CY2012. The Stationary Energy sector emissions decreased ~11% because natural gas and electricity consumption decreased across all sub-sectors. The Transportation sector emissions decreased by ~3% predominately affected by significant decreases in the Waterborne Navigation and On-road Transporation subsectors.  This occurred despite an emissions increase in the Railways sub-sector emissions which was affected by a methodology change in the way Bay Area Rapid Transit (BART) began collecting more specific power data and their use of a more conservative or higher emissions factor starting CY2013. Regarding the Waste sector, first, wastewater fugitive data collection was improved with better activity data.  This resulted in a more accurate picture of the contribution of fugitive wastewater emissions; thus, cutting by nearly half what was originally reporting in 2012. Consequently, when we compare the Waste sector since last inventoried,  emissions actually increased 18% influenced by not only an increase in total wastewater treatment and discharge emissions, but also because of an 18% increase in solid waste disposed emissions.  The updated CY2013 waste characterization study was more detailed which allowed a closer look at organic waste.  As a result, the category ""Other Organic Waste"" is now included as organic; previously categorized as inorganic.  Recategorization alone resulted in a 9% emissions increase. The remaining 9% was a result of an increase in ood+Textiles as well as Paper landfilled and thus emissions at ~5% and 4%, respectively. The Agriculture sector emissions increased nearly three-fold because the data source seems to have reported significant increases in CH4 animal waste while not allocating any biogenic emissions; nonetheless, agriculture still remains a fraction of this urban city's overall activity.",864816,2016,"(37.7749295, -122.4194155)","(37.09024, -95.712891)"
54356,City of Parañaque,Parañaque,Philippines,South Asia and Oceania,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,788108.14,Total Scope 1 and Scope 2,320044.14,468064,,This is our first year of calculation,,665822,2015,"(14.479309, 121.019823)","(12.879721, 121.774017)"
31165,Stadt Heidelberg,Heidelberg,Germany,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other: IFEU,CO2,806000,Total Scope 1 and Scope 2,,,"Since many years the IFEU institute developes CO2 balances for municipalities and consults the administrations with its expertise. Ifeu submitted a detailed inventory to the city of Heidelberg, Short comment on C1.3: All climate relevant gases (N2O, CH4 etc.) are included, but converted to CO2-equivalents.",Decreased,Emissions decreased from 1987 until 2009. Emissions increased from 2009 until 2011. Emissions decreased from 2011 to 2015. The decrease may be due to big urban development projects (for example zero-emission living for 5.000 inhabitants in Heidelberg-Bahnstadt) and an continously decreasing energy demand for municipal buildings.,146333,2015,"(49.398752, 8.672434)","(51.165691, 10.451526)"
50154,City of Turku,Turku,Finland,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; CH4; N2O,840800,Total Scope 1 and Scope 2,368300,472400,See answer to question C1.13a. Inventory report is available only in Finnish.,Decreased,Due to weather conditions the demand for heat was low. In Finland the emission factor for electricity was low. Also other sectors decreased.,187000,2016,"(60.4518126, 22.2666303)","(61.92411, 25.748151)"
50383,Prefeitura de Sorocaba,Sorocaba,Brazil,Latin America,,Public,2017,2012-01-01 - 2012-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2; PFCs; CH4; SF6; N2O; HFCs,1113971.3,Total Scope 1 and Scope 2,980290.8,133680.5,,Other: not rated yet,"There is only an elaborate inventory, so we can not compare emissions",652481,2016,"(-23.4774899, -47.4220615)","(-14.235004, -51.92528)"
54389,Taichung City Government,Taichung,Taiwan,East Asia,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,3395153.79,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",18701564.74,13668164.44,,Increased,"The city is growing in population, industry and transportation.",2750000,2016,"(24.161859, 120.646967)","(23.6978, 120.9605)"
35475,City of Calgary,Calgary,Canada,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,4074098,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",10178353,7502924,,Decreased,"The 2016 community wide GHG inventory shows a 3.1% decrease in emissions from 2015.  This is associated with a decrease in the burning of fossil fuels in the city boundaries.  The population has increased by 31,140 citizens from 2015 to 2016, which has driven an increase (+2.6%) in solid waste and emissions from wastewater treatment.  There was a 2.3% decrease in stationary energy (SE) use Scope 1 emissions, which may be due to a warmer than average winter, and 2.2% decrease in SE Scope 2 emissions relating to electricity, which may be due to more efficient use of electricity and more renewable energy on the Provincial grid.  The sector which saw the greatest decrease (-4.9%) in emissions was from Transportation.  This is likely a result of the economic downturn that Calgary has experienced since 2014.  A high unemployment rate means that less workers are commuting, and perhaps trips for leisure have also been curtailed.",1235055,2016,"(51.048615, -114.070846)","(56.130366, -106.346771)"
54461,Gemeente Groningen,Groningen,Netherlands,Europe,,Public,2017,2017-01-01 - 2017-12-31,Administrative boundary of a local government,Other,CO2,859000,Total Scope 1 and Scope 2,1325000,1325000,see: http://energiemonitor.groningen.nl/ (document too big to attach),Decreased,"Main reason is warmer winters, with a reduced need for heating.",200500,2016,"(53.232386, 6.551335)","(52.132633, 5.291266)"
54057,City of Lancaster,Lancaster,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; PFCs; CH4; SF6; N2O; NF3; HFCs,885210,Total Scope 1 and Scope 2,,,,Decreased,"Community-wide GHG emissions declined by 107,860 MTCO2e, or 12%, between 2010 and 2015. Emissions from the treatment and delivery of water saw the largest reduction with a 47% decrease. This reduction is mostly likely a result of more intense drought conditions and water regulations. The reduced consumption in water also led to a reduction in wastewater with a 35% decrease. A slowdown in construction growth also lead to a 40% decrease in lawn and garden and construction sectors (collectively referred to as off-road equipment). Emissions from transportation decreased 17%. While certain factors, such as increased walkability, may have
contributed to this decrease, no definitive explanation has been established. Commercial and industrial energy use is the only sector that saw a slight increase of approximately 880 MTCO2e",161000,2015,"(40.0379, -76.3055)","(37.09024, -95.712891)"
43912,City of Edmonton,Edmonton,Canada,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,3593805,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",10215142,6361560,,Increased,"The increase in the Community 2015 inventory from 2014 is roughly 2% (400,000 TCO2e greater in 2015 than realized in 2014 which had a total of 16,576,702 TCO2e). Comparing the numbers however is a bit unfair as the 2015 total was derived using the GPC reporting protocol and the 2014 used IEAP. New categories added to the inventory in 2015 include scope 3 emissions for the residential commercial and industrial sectors, as well as sectors of: Energy Industries, Energy generation to grid, Fugitive natural gas emissions, railway, aviation and off road, biological waste water, solid waste outside the city, biological waste outside the city, waste water outside the city, land and aggregate sources on land. The emissions from residential, commercial and industrial buildings all declined in 2015, more than likely due to the warmer weather throughout the year.",893000,2015,"(53.544389, -113.4909267)","(56.130366, -106.346771)"
31155,City of Buenos Aires,Buenos Aires,Argentina,Latin America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,3452037,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",16338506,4252960,,Increased,The increase is a result of three factors: a) A small increment of the stationary energy emission factor b) a small raise in the amount of GHG emissions related to stationary energy and c) an increase in the amount of GHG emissions related to motorized vehicles.,3059122,2016,"(-34.6037232, -58.3815931)","(-38.416097, -63.616672)"
31172,Mexico City,Mexico City,Mexico,Latin America,C40,Public,2017,2014-01-01 - 2014-12-31,"Other: the inhabitants, commercial establishments, services and industries located in the territory of Mexico City area","Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,26347998.76,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",19535381.25,6812617.51,,Increased,"• Stationary Energy,  SCOPE 1 :Emission factors of commerce & services, were reassigned according to the combustion equipment characteristics, SCOPE 3: the percentage of T&D losses from energy imported were actualized to 2014. • Transportation sector, On road transport : we change the estimating model for vehicle emissions from Mobile6-Mexico to MOVES-México. • IPPU and Other SCOPE 3, the consumption of HFC's for automobile air conditioning were actualized.",8874724,2014,"(19.4326077, -99.133208)","(23.634501, -102.552784)"
46514,City of Porto,Porto,Portugal,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other: Metodology developed for the specific purpose and context,,960656,Total Scope 1 and Scope 2,,,"The level of confidence is high since the source of all data comes from oficial government institutes. However, some of the data are still provisional and will be reviewed in the near future.",Decreased,"Porto Energy Agency has already calculated GHG emissions for 2004 , 2009 and 2012 and 2015 (this last one with non definite or mature data). The 2004 GHG emissions were the basis for the Sustainable Action Plan development. The 2009 and 2015 GHG emissions balance, point to a decrease in the emissions (by 22% and 26% respectively) - which indicates that Porto is half way of his ambitious target to 2020 – and these results are mainly  because of the decrease in the demand of fossil fuels (in mobility due to the Metro expansion) and “greener” national grid electricity.",238954,2011,"(41.1579438, -8.6291053)","(39.399872, -8.224454)"
35859,City of Cleveland,Cleveland,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,3084526,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",8460598,3280096,,Decreased,"From the baseline inventory in 2010 to this year to this reporting year overall emissions have been reduced from 12.7 million tons CO2e to 12.2 million tons CO2e. The 2010 baseline inventory was re-evaluated to account for changes associated with the GPC inventory methodology as well as changes in source data methodologies if any. Note that the City reduced emissions from 2010 to 2015 in almost every category, except for industrial process emissions - primarily from the Arcelor Mittal steel plant, which increased by more than 500,000 MTCO2e due to increased economic activity and output. Arcelor's emisisons/ton continues to decrease from 2010 - 2015, however.",396815,2010,"(41.4993, -81.6944)","(37.09024, -95.712891)"
31170,Metropolitan Municipality of Lima,Lima,Peru,Latin America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,2868080,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",12688756,3919620,,Increased,Han aumentado puesto que no se ha trabajado en proyectos o programas que tengan gran potencial de reducción en gases con efecto invernadero.,8755262,2014,"(-12.046374, -77.042793)","(-9.189967, -75.015152)"
35274,"City of Portland, ME","Portland, ME",USA,North America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,Other,CO2; CH4; N2O,1142797,Total Scope 1 and Scope 2,1145519,307336,This is a dated document,,,66666,2014,"(43.6615, -70.2553)","(37.09024, -95.712891)"
31175,City of Paris,Paris,France,Europe,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,5195663,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",3359242,1836421,,Decreased,"Thanks to Paris' climate change policy especially on sustainable mobility, social housing retrofitting, etc...",2265886,2015,"(48.856614, 2.3522219)","(46.227638, 2.213749)"
56276,New Taipei City Government,New Taipei ,Taiwan,East Asia,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,2719315,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",2719315,10560750,,Decreased,Saving energy and reducing GHGs emission efficiently.,3970644,2016,"(25.0111, 121.4458)","(23.69781, 120.960515)"
31171,Ayuntamiento de Madrid,Madrid,Spain,Europe,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,2625111,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",7069783,3408424,,Decreased,"A decrease  of a 2,17 % in global emissions in 2014 in comparison to 2013, Although Scope 2 and 3 Emissions have been increased in a 4,86 %, Scope 1 emissions have been reduced in a 5,57 %",3165883,2016,"(40.1076253, -3.3875673)","(40.463667, -3.74922)"
35268,City of Boston,Boston,USA,North America,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,2471876,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",4071657,2463589,,Increased,"GHGs increased by about 84,000 metric tonnes, or 1.3%. There were increases in both electricity and natural gas usage, which could be because of an extremely snowy and cold winter. Another factor is that the electricity emissions factor increased, by about 2%, with the closing of a major nuclear plant in Vermont and increased natural gas fired generation. The was a population increase of about 2% as well.",669469,2015,"(42.3584308, -71.0597732)","(37.09024, -95.712891)"
54102,City of Albany,Albany,USA,North America,,Public,2017,2010-01-01 - 2010-12-31,Administrative boundary of a local government,Other: New York Community and Regional GHG Inventory Guidance,CO2; PFCs; CH4; SF6; N2O; HFCs,1217091,Total Scope 1 and Scope 2,663997,553094,http://cdrpc.org/programs/sustainability/climate-smart-communities-csc/ghg-inventory/,Other: The City of Albany has not conducted a community GHG inventory update since the baseline year.,"Technically the City has a community inventory data for baseline year 2009, an update for 2010, and an updated for 2013. However the results are not directly comparable as the 2009 was conducted specifically for Albany and 2010 was scaled down from a regional inventory and Energy Plan was conducted separately. We need to do a more robust update to ensure apples to apples comparison.",97856,2010,"(42.6526, -73.7562)","(37.09024, -95.712891)"
54409,City of Espoo,Espoo,Finland,Europe,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,CO2; CH4; N2O,1233581,Total Scope 1 and Scope 2,914868,318713,Regionally developed methodology equivalent to GPC (and IPCC guidelines). There has been no external verification or audition. Cities of the Helsinki metropolitan area have jointly approved the current calculations methodology. The person responsible for calculating emissions is mr. johannes.lounasheimo@hsy.fi,Decreased,"The energy company Fortum is producing even more of the district heat with renewables. More of the the electricity used is low emission energy, for excample norwegian hydropower. The total emissions are decreasing slower because Espoo is a very fast growing city,",274522,2016,"(60.205491, 24.6559)","(61.9241, 25.7482)"
60602,"Town of Ajax, ON","Ajax, ON",Canada,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,International Emissions Analysis Protocol (ICLEI),CO2,1234211,Total Scope 1 and Scope 2,,,"Currently being updated to 2015, plan for 2013 can also be found here: https://www.ajax.ca/en/livinginajax/community-sustainability-plan.asp",Increased,Emission increase can be attributed to population increase of 22% increase from 2006 to 2011,109600,2011,"(43.850855, -79.020373)","(56.130366, -106.346771)"
54443,Landeshauptstadt Magdeburg,Magdeburg,Germany,Europe,,Public,2017,2012-01-01 - 2012-12-31,A metropolitan area,Other,CO2,1400000,Total Scope 1 and Scope 2,,,,,,238000,2015,"(52.1205, 11.6276)","(51.165691, 10.451526)"
36254,Comune di Venezia,Venezia,Italy,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,CO2,1418344,Total Scope 1 and Scope 2,776246,498717,,Decreased,"Emissions have decreased around 10% in 10 years. However, the most important share of this reduction is due to Transport Emissions data, which were only estimated using the Regional Agency for the Protection of Environment of Veneto Region (ARPAV) data referred on 2013.",261905,2016,"(45.4332515, 12.3210704)","(41.87194, 12.56738)"
54092,City of Ann Arbor,Ann Arbor,USA,North America,,Public,2017,2015-01-01 - 2016-01-01,A metropolitan area,International Emissions Analysis Protocol (ICLEI),CO2; CH4; N2O,1420000,Total Scope 1 and Scope 2,1420000,,Number doesn't include University of Michigan reported emissions,Decreased,Renewable Portfolio Standard for Michigan,117770,2015,"(42.2808, -83.743)","(37.09024, -95.712891)"
54113,City of Flagstaff,Flagstaff,USA,North America,,Public,2017,2016-01-01 - 2016-12-31,Administrative boundary of a local government,Other: Excel,CO2,1424562.96,Total Scope 1 and Scope 2,949707.2,474855.76,Our emissions inventory is based on the best data available. We have gaps in our methodology we hope to address in future years.,Increased,"Emissions resulting from transportation (specifically, the amount of gasoline and diesel) have increased since our last reported emissions inventory (2015 data). Additionally, we have improved some emissions data collection methods, which may have resulted in more accurate, but higher, emissions being recorded. We have also included natural gas used for transportation, which was not included in the previous inventory.",68667,2013,"(35.1992, -111.6311)","(37.09024, -95.712891)"
31009,City of Copenhagen,Copenhagen,Denmark,Europe,C40,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,Other,CO2; CH4; N2O,1450358,Total Scope 1 and Scope 2,,,,Decreased,"The CO2-emissions from the City of Copenhagen in 2015 was 11% lower than the emissions in 2014. The reduction in the emissions is primarily caused by more wind power i the power production in Copenhagen and in Denmark in general. For Denmark as a whole, one kilowatt-hour of electricity emitted an average of almost 29% less CO2 in 2015 than in 2014. This drop is partly attributable to higher wind production as well as more use of biomass in combined heat and power production.",602504,2016,"(55.6760968, 12.5683371)","(56.26392, 9.501785)"
43932,Auckland Council,Auckland ,New Zealand,South Asia and Oceania,C40,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,2344277,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",9488399,1260758,,Stayed the same,"Between 2013 and 2014, Auckland’s GHG emissions have remained relatively stable, with an increase of 43 kt CO2e or 0.4 per cent for gross emissions and a decrease of 78 kt CO2e or 0.7 per cent for net emissions. The emissions were higher from transport and IPPU sectors in 2014 than in 2013, by 83 kt CO2e and 27 kt CO2e respectively. The emissions were lower from stationary energy, waste and AFOLU sectors in 2014 than in 2013, by 7 kt CO2e, 41 kt CO2e and 140 kt CO2e, respectively. There were additional 122 kt CO2e sequestrated from forestry in 2014 than in 2013.",1614400,2016,"(-36.815328, 174.741788)","(-40.900557, 174.885971)"
53959,"City of Fayetteville, AR","Fayetteville, AR",USA,North America,,Public,2017,2016-01-01 - 2016-12-31,A metropolitan area,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O; HFCs,1454781,Total Scope 1 and Scope 2,,,"Data retrieved came directly from utility companies and ICLEI resources were used to ensure proper methodology was used but we are only able to include the 5 minimum sources: Electric, Gas, waste, water movement, and VMT. We also had to use certain defaults (such as the Default vehicle mix and the default municipal solid waste Emissions Factor) as we do not have specific data in those areas.",This is our first year of calculation,,82830,2016,"(36.082156, -94.171854)","(37.09024, -95.712891)"
54408,Aarhus Kommune,Aarhus,Denmark,Europe,,Public,2017,2008-01-01 - 2016-01-01,Administrative boundary of a local government,Other,CO2,1600000,Total Scope 1 and Scope 2,,,,Decreased,Increasing share of renewable electricity at national level and continued energy savings,336000,2017,"(56.168393, 10.137373)","(56.26392, 9.501785)"
32550,City of Denver,Denver,USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",,1867495,"Total Scope 1, Scope 2 and Waste Scope 3 (Total BASIC emissions)",4315084,4565580,,Stayed the same,"This is our first year conducting a GHG inventory with the GPC protocol.  Using the same method as previous years, our emissions stayed about the same due to and Emissions Factor in electricity that stayed roughly the same.",682545,2015,"(39.737567, -104.9847179)","(37.09024, -95.712891)"
59537,"City of Denton, TX","Denton, TX",USA,North America,,Public,2017,2015-01-01 - 2015-12-31,Administrative boundary of a local government,U.S. Community Protocol for Accounting and Reporting of Greenhouse Gas Emissions (ICLEI),CO2; CH4; N2O,1604007,Total Scope 1 and Scope 2,898681,759270,The one sector of tracking and reporting accurate emissions that we lack some confidence is Transportation because the figures are based on estimations from a regional council of governments.,Decreased,"Overall Community GHGs have fallen 1% since 2002, with a 13% reduction since 2006. Generally we continue on a downward emissions trend, with a 1% reduction from 2011 to 2015. Community emissions per capita have also steadily dropped over time from 17.51 to 12.24 metric tons CO2e/person, a 30 % reduction, from 2002 to 2015. In addition, per capita emissions are 34% lower for Denton than for the U.S. average, in 2015 (World Bank). The largest sources of community GHGs are from transportation (46%) and from residential (19%), commercial (10%), and industrial (18%) electricity consumption (together totaling 47% of Community GHGs). Emissions from the wastewater digester represent less than 1 % of total municipal GHG’s. As with municipal operations, Community electricity related emissions have dropped by 26% from 2006, including a 3% drop from 2011 to 2015. This reduction is largely due to DME purchasing 40% wind electricity for all Denton customers beginning in 2009, and reducing purchases from coal produced electricity by 44% from 2011 to 2015.  It is important to note, that electricity related emissions from municipal operations dropped 11% from 2011 to 2015. In addition DME expanded it’s free residential and small commercial energy audit program in 2008, and launched the GreenSense Energy Efficiency Rebate program for residential and small commercial customers in 2009.  The City created a Conservation Program Coordinator position in 2014 to enhance the audit and rebate program, and to develop increased public education about energy and water conservation. In addition, the City created a Bike and Pedestrian Coordinator position in 2015, to implement the Bike Plan adopted in February 2012. The Coordinators responsibilities include promoting bicycle and pedestrian infrastructure, education, and community events.",131044,2015,"(33.214841, -97.133068)","(37.09024, -95.712891)"
36285,Comune di Firenze,Firenze,Italy,Europe,,Public,2017,2014-01-01 - 2014-12-31,Administrative boundary of a local government,2006 IPCC Guidelines for National Greenhouse Gas Inventories,CO2,1630308,Total Scope 1 and Scope 2,1067681,562627,A complete data collection following a bottom-up approach has been used to calculate the fuel consumption in the city; standard IPCC emission factors and local factor for electricity production supported the calculation of the consequent emissions inventory,Decreased,Becouse of the implementation of the SEAP action,377635,2017,"(39.627269, -90.610682)","(41.87194, 12.56738)"
